model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
RF,200,6.0,3.0,0.7957692307692308,0.07609068865116338,
RF,100,3.0,3.0,0.7957692307692307,0.07331842685148347,
RF,400,7.0,5.0,0.7953846153846154,0.07593207802617272,
RF,100,6.0,1.0,0.7953846153846154,0.07709212194687723,
RF,200,6.0,2.0,0.7953846153846154,0.07495166095084178,
RF,200,8.0,5.0,0.7949999999999998,0.07359231211456033,
RF,200,,5.0,0.7946153846153845,0.07240991138146897,
RF,100,5.0,3.0,0.7942307692307693,0.07889304421833084,
RF,200,,1.0,0.7942307692307692,0.07244157000706679,
RF,400,7.0,1.0,0.7938461538461539,0.06955479726435271,
RF,200,7.0,1.0,0.7938461538461538,0.07468276101550753,
RF,400,8.0,1.0,0.7934615384615384,0.07084757369328079,
RF,100,6.0,5.0,0.7934615384615384,0.0760829117966421,
RF,200,3.0,5.0,0.7934615384615384,0.0733103559125426,
RF,200,7.0,5.0,0.7934615384615382,0.0766639867467465,
RF,400,8.0,2.0,0.7930769230769229,0.07630133348195339,
RF,100,7.0,1.0,0.7926923076923076,0.07823780317821971,
RF,400,8.0,5.0,0.7926923076923076,0.07396124844936942,
RF,100,6.0,3.0,0.7926923076923076,0.08102432244951122,
RF,400,,5.0,0.7923076923076923,0.07378202343558031,
RF,400,7.0,2.0,0.7923076923076923,0.07825765365144541,
RF,400,3.0,5.0,0.7923076923076923,0.07536891516255934,
RF,100,7.0,5.0,0.791923076923077,0.07865267067017047,
RF,100,3.0,5.0,0.7919230769230768,0.07577899195226719,
RF,400,,1.0,0.7915384615384616,0.07157980608421104,
RF,400,,2.0,0.7915384615384614,0.07401822900375334,
RF,200,8.0,1.0,0.7915384615384614,0.07178617163402588,
RF,100,6.0,2.0,0.7911538461538461,0.07716404564840029,
RF,200,8.0,2.0,0.7907692307692307,0.07424571392008404,
RF,100,8.0,5.0,0.7907692307692307,0.07601774940664892,
RF,100,,1.0,0.7903846153846154,0.07504929346572253,
RF,400,7.0,3.0,0.7903846153846154,0.07718704707842107,
RF,400,,3.0,0.7896153846153845,0.07347160623721878,
RF,200,8.0,3.0,0.7896153846153844,0.079095291192064,
RF,200,7.0,3.0,0.7892307692307691,0.07815929720541868,
RF,400,8.0,3.0,0.7892307692307691,0.07526678389167726,
RF,200,7.0,2.0,0.7888461538461539,0.07891554170056424,
RF,200,,2.0,0.7888461538461539,0.07408115652093514,
RF,100,7.0,3.0,0.7888461538461538,0.07816213614421767,
RF,100,8.0,1.0,0.7884615384615384,0.07448044896552726,
RF,100,,2.0,0.7884615384615384,0.07624702923691928,
RF,100,8.0,2.0,0.7884615384615384,0.07929049280033963,
RF,100,,5.0,0.7876923076923077,0.07624314888223917,
RF,200,,3.0,0.7873076923076923,0.07681819773308002,
RF,100,7.0,2.0,0.786923076923077,0.07795841707538326,
RF,100,8.0,3.0,0.7838461538461537,0.07649496251349386,
RF,100,,3.0,0.7823076923076923,0.0763865907250975,
