Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Geology_Class,Soil_Class,Elevation_m,Slope_deg,Ruggedness,presence
bg_00636,background,31.16264338859518,-5.305379490428346,10,3,1162.1788330078125,13.57608820900815,8.6023974609375,0
bg_00637,background,26.574205595911586,-13.699387748342106,40,6,58.029693603515625,0.6287875292968433,0.30330108642578124,0
bg_00638,background,22.616837773864308,-13.883976534851476,8,7,294.91094970703125,0.8433199221375355,0.503475341796875,0
bg_00639,background,24.722376580248373,-13.73553217073271,23,7,278.4815673828125,0.624649650320303,0.440750732421875,0
bg_00640,background,26.279251131844944,-14.369936415319698,82,3,0.0,0.0,0.0,0
bg_00641,background,29.969725250552834,-9.581494411970025,10,6,85.72867584228516,6.565532359615588,3.6771859741210937,0
bg_00642,background,22.73636537454257,-15.499529561301022,29,7,234.06234741210938,1.233368572330871,0.49538330078125,0
bg_00644,background,32.48062415406614,-6.563340648759379,51,5,447.0976867675781,1.06255682704965,0.332855224609375,0
bg_00645,background,26.457688776746316,-10.086253444392254,61,7,417.9624328613281,0.773707909072338,0.38449951171875,0
bg_00646,background,33.348034703664105,-4.578075297765147,18,7,1736.151611328125,8.336176319357584,4.7738330078125,0
bg_00647,background,25.13213913173576,-13.934864077611655,23,6,200.09542846679688,7.032279152065807,3.599736328125,0
bg_00648,background,25.057672089958608,-14.487712420566664,23,6,128.3809051513672,0.9800466214056507,0.50108154296875,0
bg_00649,background,34.17104097908415,-3.0037398064378316,14,3,607.0558471679688,0.8943666614431408,0.44820068359375,0
bg_00650,background,30.49775619578655,-8.324191156604469,49,9,1162.43212890625,20.29804175705523,13.07798828125,0
bg_00651,background,23.76724302839162,-12.687250666025639,8,7,247.5830841064453,4.393762369190693,2.8625848388671873,0
bg_00652,background,27.269097268790897,-10.746179767514896,8,7,361.024169921875,3.4111690500787253,1.99590576171875,0
bg_00653,background,25.801161646745214,-13.795804506279266,8,6,105.78683471679688,0.8566108129650098,0.487904052734375,0
bg_00654,background,26.92664770681157,-9.777708448288726,27,7,538.3135375976562,0.41295783833727007,0.13250244140625,0
bg_00655,background,34.64657403387148,-3.3391658349149824,14,8,555.93408203125,1.5937745913694117,0.8859033203125,0
bg_00656,background,26.174829110226465,-8.75477267167026,8,7,415.12945556640625,0.40853516906976184,0.25796630859375,0
bg_00658,background,23.34511407999629,-14.692664623612329,39,7,250.33187866210938,1.0884722382956142,0.66995849609375,0
bg_00659,background,31.697374831078992,-6.927647554949721,69,9,1268.25927734375,15.499942446867228,9.03462890625,0
bg_00660,background,32.16085282078855,-4.287899459161857,71,9,1443.1441650390625,2.777447152194746,1.7230224609375,0
bg_00661,background,23.963828348346052,-13.819284763206785,23,7,323.2452087402344,1.007555679358371,0.477137451171875,0
bg_00662,background,31.77377052872493,-7.528743757337071,24,5,581.0352783203125,0.8923717176107324,0.37077392578125,0
bg_00663,background,26.33781327082541,-12.450660775265064,8,6,258.23272705078125,1.2578078753667745,0.65634765625,0
bg_00664,background,25.904475399517572,-14.122526005800362,23,6,121.73881530761719,0.4550840426297747,0.2781613159179688,0
bg_00665,background,31.09834701972994,-3.767822635032046,14,3,815.0225219726562,5.666137686369723,3.356806640625,0
bg_00666,background,24.84588883578682,-13.188385197892044,8,7,203.9796600341797,0.6514018661132693,0.2447589111328125,0
bg_00667,background,30.798826285192074,-4.885572115281251,28,3,689.8480224609375,1.4523679210755713,0.7306494140625,0
bg_00668,background,30.147883969178597,-5.981276754732161,8,3,922.4905395507812,12.487945846316325,7.48140625,0
bg_00669,background,32.965653575359774,-4.9488787473108715,14,6,1586.4713134765625,1.5719053617011736,0.8389794921875,0
bg_00670,background,29.583756615829344,-5.745995350553338,82,7,586.687255859375,5.132972557448764,3.25648193359375,0
bg_00671,background,31.997029650711923,-8.949949098107632,68,3,482.09423828125,10.08115327769953,5.40887939453125,0
bg_00673,background,31.82191420340523,-9.093064654523252,68,8,86.28524780273438,2.3522331665445475,1.4863671875,0
bg_00674,background,25.057968092744762,-12.367360076648673,15,7,345.67291259765625,1.0374918293713544,0.41586669921875,0
bg_00675,background,30.912726075786946,-8.374819951724726,10,9,2376.91552734375,35.15065618519534,22.016044921875,0
bg_00676,background,33.09218278052432,-2.056362365630897,18,3,1407.64697265625,2.905981233458099,1.7743896484375,0
bg_00677,background,29.677238348128466,-8.700853944556544,49,7,1824.7996826171875,5.875266203367806,3.8351806640625,0
bg_00678,background,24.84965713150369,-14.432911754569266,23,7,132.53428649902344,1.0131836926456885,0.5738983154296875,0
bg_00679,background,22.625318820877308,-15.203500261546465,29,7,249.7526092529297,0.7124108554127047,0.394237060546875,0
bg_00680,background,31.934269602363745,-8.509155697209058,10,8,360.9960632324219,2.158539476999188,1.354830322265625,0
bg_00681,background,27.076325213168612,-9.143410959523145,27,7,469.06494140625,0.7071416989586877,0.324166259765625,0
bg_00682,background,22.59792527053328,-15.394061833286928,29,7,242.03746032714844,0.6729380580341453,0.3297113037109375,0
bg_00684,background,33.14123927225739,-4.110523111580823,8,3,1127.8160400390625,5.7280800237656075,3.3960693359375,0
bg_00685,background,34.681434700642825,-4.487873936673045,71,9,1238.754638671875,31.09937516480893,22.166005859375,0
bg_00686,background,30.872661070531358,-6.08490948152716,56,7,1502.279296875,14.82517825323567,8.02939453125,0
bg_00687,background,23.50872516288071,-15.615381769417844,23,6,109.79451751708984,2.304811828379566,1.1107015991210938,0
bg_00688,background,26.699514729805387,-10.642671507383588,15,7,298.0364074707031,1.9284984530853382,1.22623046875,0
bg_00689,background,33.90527511458099,-5.750385595789457,48,3,447.37689208984375,5.739443651037242,3.682061767578125,0
bg_00691,background,31.14312119843624,-6.868586052201337,59,3,1375.2017822265625,0.8686132799417062,0.551162109375,0
bg_00692,background,25.099066925523765,-12.03265750236722,8,7,349.9715576171875,0.25630931049565037,0.097969970703125,0
bg_00693,background,30.127928276448962,-5.3064570904308015,8,3,875.8216552734375,8.687038508128666,5.6189208984375,0
bg_00694,background,22.774185242997252,-14.034375270122458,8,7,280.6744689941406,0.32167634959735625,0.300419921875,0
bg_00695,background,34.033819931540286,-5.456076636296584,18,9,699.1583862304688,2.7962073982306497,1.73812744140625,0
bg_00696,background,34.67732828753777,-2.705469373795484,9,9,505.2178039550781,14.005897501812534,7.504942626953125,0
bg_00697,background,30.938577489308727,-5.305614929798589,14,3,871.7880249023438,1.5305890027869262,0.77948486328125,0
bg_00698,background,31.63079496119673,-5.990935724841494,71,7,2658.60009765625,14.6357287488119,8.514091796875,0
bg_00700,background,21.898362960910642,-14.701262776352324,8,7,229.42030334472656,0.7581640410296265,0.4461517333984375,0
bg_00701,background,31.99293871143256,-3.6261413264987694,14,3,1014.9224243164062,1.424573739480896,0.84960205078125,0
bg_00702,background,21.50681951987289,-15.45095823509568,8,7,149.20558166503906,0.7363228297171839,0.712410888671875,0
bg_00703,background,29.898029480434218,-7.399181604167505,10,3,621.3023071289062,1.5064116242813803,0.8002880859375,0
bg_00704,background,30.48459983172502,-6.599240626759261,8,3,1310.64208984375,20.97700312861118,9.3646630859375,0
bg_00705,background,31.66061895218761,-6.340520723511483,71,9,2193.09619140625,25.65456653236889,16.579296875,0
bg_00706,background,22.13636087862289,-14.497857031118869,8,7,260.6166076660156,0.5985031184503844,0.194593505859375,0
bg_00707,background,32.675408335895256,-2.955983438606314,71,3,1181.2760009765625,2.4031797177983996,1.3866943359375,0
bg_00708,background,21.859296074234415,-16.718678277326195,62,7,12.392155647277832,1.3484700987524691,0.8143954467773438,0
bg_00709,background,27.1300560863577,-12.546325188755866,27,6,177.95489501953125,0.48282409045592156,0.2549676513671875,0
bg_00711,background,34.731774219672175,-4.138417907009538,32,9,1000.39013671875,22.295844498236978,13.52348876953125,0
bg_00712,background,30.77193391232102,-4.13205670973428,82,3,675.8027954101562,3.1716815496251334,1.544287109375,0
bg_00713,background,35.334750540529086,-5.001456100430826,8,9,370.4525451660156,23.4451842222763,15.07115478515625,0
bg_00714,background,32.88165288687347,-1.7858872110471087,32,3,1300.0701904296875,1.9145907786139227,1.0922314453125,0
bg_00715,background,31.052086393755264,-6.371332152243531,38,3,1320.6810302734375,4.58115166482175,2.1031884765625,0
bg_00716,background,25.607432906925144,-13.227806808146504,8,7,197.27676391601562,0.3610356992800295,0.142281494140625,0
bg_00717,background,21.497613496435687,-14.325903021077982,8,7,191.8763885498047,0.6709925321846881,0.3760516357421875,0
bg_00718,background,34.10010891828638,-3.2110008205146734,14,3,597.9974365234375,0.6335813765189583,0.3943896484375,0
bg_00719,background,25.32732477678593,-12.971042817951394,8,7,229.52012634277344,0.393843247034813,0.1565460205078125,0
bg_00721,background,24.009769184024922,-12.187539253875665,8,7,249.18650817871094,0.8194683464558106,0.2585986328125,0
bg_00722,background,31.875052721094903,-6.2051947425065785,8,9,2254.05517578125,15.048890326784786,9.177060546875,0
bg_00723,background,21.464671929998048,-14.727299532218623,8,7,190.7913055419922,0.9486732087737045,0.5705352783203125,0
bg_00724,background,32.05155269150615,-9.265642825946138,45,3,91.10154724121094,1.2328741399222212,0.5632632446289062,0
bg_00725,background,26.657351599398776,-9.58776880834147,15,7,482.9252624511719,0.7381735389144796,0.413575439453125,0
bg_00726,background,21.74302550058173,-13.154997695269323,8,7,260.7234191894531,0.81385495305445,0.513114013671875,0
bg_00727,background,31.663684657859285,-5.030327395492363,13,3,1034.2886962890625,0.9441479307597309,0.558359375,0
bg_00728,background,27.30643102830542,-9.569335640026505,27,7,506.40740966796875,1.1713423314102556,0.753194580078125,0
bg_00729,background,21.45779856742382,-16.829598869523853,62,7,10.17357349395752,0.49370956858775017,0.36983474731445315,0
bg_00730,background,24.938978332449874,-14.511285246138673,23,6,135.8855743408203,0.5330203306758085,0.17514404296875,0
bg_00731,background,26.44532066936333,-9.861457181501669,61,7,508.8371887207031,6.91911235585978,3.121474609375,0
bg_00732,background,23.665103939144387,-12.117290392822834,8,7,284.857666015625,1.009091517086798,0.6056982421875,0
bg_00733,background,27.777612816377232,-9.482823530099042,27,6,512.8262939453125,1.0067720001823344,0.366407470703125,0
bg_00734,background,29.562846492966155,-5.550857673234342,82,7,537.6557006835938,1.3639702291732239,0.768642578125,0
bg_00735,background,26.509393628818742,-13.859318889075487,40,6,64.18785858154297,0.398480237797912,0.11422882080078126,0
bg_00737,background,25.324245678140393,-13.017513877287204,8,7,223.71194458007812,0.7753979080565936,0.3294720458984375,0
bg_00738,background,26.811691696876927,-13.032120316941468,8,7,109.49642944335938,1.8818345539169756,1.1008322143554687,0
bg_00739,background,26.86385891754828,-12.371696985044451,8,7,169.88267517089844,5.539538039760876,3.507093505859375,0
bg_00740,background,32.751817784261505,-7.110154942951882,8,3,658.3985595703125,1.9879232709494572,1.20473388671875,0
bg_00741,background,33.52043902218499,-7.112448226121581,8,5,306.11419677734375,2.2680689357340147,1.315321044921875,0
bg_00742,background,32.52465524106403,-6.412714987645562,24,10,446.8260803222656,1.1268619304478307,0.66798828125,0
bg_00743,background,22.099306314190446,-16.21433190339625,39,6,104.5672607421875,2.228939760053611,1.2475274658203126,0
bg_00745,background,32.702467192374044,-8.536233928701753,14,3,161.7354278564453,1.0463887883179603,0.68009033203125,0
bg_00746,background,21.608477876476073,-15.720464622810205,29,7,131.01235961914062,1.4310359390166472,0.706129150390625,0
bg_00747,background,22.02933623196638,-13.70846881583315,8,7,246.68983459472656,0.3162619393971218,0.0921240234375,0
bg_00748,background,31.482729934683874,-5.255229231077171,56,3,1215.8509521484375,16.82692745207789,9.8933203125,0
bg_00749,background,31.173291956010125,-5.2805482166334805,10,3,1222.9820556640625,20.25688912450344,12.584677734375,0
bg_00750,background,22.181518328251684,-13.925093550709716,8,7,229.15525817871094,0.5057154452715629,0.3008636474609375,0
