Locality_ID,Expert_Class,Region,Latitude_WGS84,Longitude_WGS84,Dist_to_Highway_m,Slope_deg,Ruggedness,Elevation_m,LULC_Friction,Dist_to_Settlement_m,Expert_Merged,origin,proba,pred,correct,y
loc_01437,Moderate,Fés-Meknés,33.457769444444445,-4.332880555555556,1293.6531933583651,24.119816631904754,15.061533203125,1569.3861083984375,0.35,38274.88656863351,Moderate,batch3_2026,0.19019886137909026,0,True,0
loc_01438,Moderate,Béni Mellal-Khénifra,32.08508611111111,-6.431527777777778,2607.669157809912,0.0,0.0,802.0,0.9,28659.67304857664,Moderate,batch3_2026,0.8381819123747756,1,False,0
loc_01439,Moderate,Béni Mellal-Khénifra,32.32635833333334,-6.340052777777777,211.46171481191269,8.164287129782373,4.81908203125,584.5738525390625,0.55,1521.9588032421054,Moderate,batch3_2026,0.590408532748475,1,False,0
loc_01440,Moderate,Béni Mellal-Khénifra,32.339975,-6.3209333333333335,404.2877442629326,6.972210389366158,4.44758056640625,572.3265991210938,0.55,3111.301082479833,Moderate,batch3_2026,0.5357467235760041,1,False,0
loc_01441,Moderate,Béni Mellal-Khénifra,32.31991388888889,-6.3556888888888885,734.8707564707299,4.951600318617091,2.90314697265625,597.649658203125,0.15,1603.0952446319814,Moderate,batch3_2026,0.6666011318557533,1,False,0
loc_01442,Moderate,Béni Mellal-Khénifra,32.32220277777778,-6.315575,787.0633537513678,18.03153642759966,10.5676025390625,831.5021362304688,0.55,3790.151804346762,Moderate,batch3_2026,0.38047149024002586,0,True,0
loc_01443,Easy,Béni Mellal-Khénifra,32.352627777777776,-6.2916083333333335,397.5120414348117,25.27026072182964,16.5291796875,803.8060913085938,0.55,6150.480015217811,Easy,batch3_2026,0.43214161965165615,0,False,1
loc_01444,Easy,Béni Mellal-Khénifra,32.36804166666667,-6.258297222222223,518.5352667132321,24.111660348251824,13.86612060546875,755.236328125,0.15,9688.421143533847,Easy,batch3_2026,0.32237494872839956,0,False,1
loc_01445,Easy,Béni Mellal-Khénifra,32.26388611111111,-6.312141666666666,2132.221881307544,12.146178563134132,7.2117919921875,1567.6845703125,0.15,8723.98953343351,Easy,batch3_2026,0.7167184772088586,1,True,1
loc_01446,Moderate,Béni Mellal-Khénifra,32.25786111111111,-6.2741444444444445,421.01130946186686,32.21716242545647,22.2783349609375,1787.8023681640625,0.55,11289.148074747793,Moderate,batch3_2026,0.33934380059007585,0,True,0
loc_01447,Easy,Béni Mellal-Khénifra,32.24431666666667,-6.2989138888888885,3139.146048573464,19.251381571894843,11.565341796875,1699.2652587890625,0.35,11226.979064838932,Easy,batch3_2026,0.3003689194124618,0,False,1
loc_01448,Easy,Béni Mellal-Khénifra,32.25030555555556,-6.263961111111112,123.08341676712678,13.372423068885205,7.5309423828125,1569.8826904296875,0.15,12553.22450241595,Easy,batch3_2026,0.696503519585745,1,True,1
loc_01449,Moderate,Béni Mellal-Khénifra,32.244397222222226,-6.258502777777778,221.592064444566,6.181258590085831,3.35853515625,1462.70556640625,0.2,13385.075309591975,Moderate,batch3_2026,0.6412417900313839,1,False,0
loc_01450,Moderate,Béni Mellal-Khénifra,32.20150277777778,-6.281852777777778,431.2557561137473,8.8058088971141,5.056572265625,1515.03515625,0.35,16213.12080697713,Moderate,batch3_2026,0.4215216201248846,0,True,0
loc_01451,Moderate,Béni Mellal-Khénifra,32.213880555555555,-6.259605555555556,1326.1538601284,18.25542041096917,10.5373046875,1454.5753173828125,0.15,16019.565969755766,Moderate,batch3_2026,0.4156184032455281,0,True,0
loc_01452,Moderate,Béni Mellal-Khénifra,32.17773888888889,-6.266066666666666,3454.549048179618,29.41161140077999,17.94544921875,1222.462158203125,0.35,19235.23796167115,Moderate,batch3_2026,0.2178993518511393,0,True,0
