Locality_ID,Region,origin,y_difficult,knn_pred_difficult,gp_pred_difficult,y_easy,knn_pred_easy,gp_pred_easy
loc_01150,Fés-Meknés,batch3_2026,0,0,0,1,1,1
loc_01151,Fés-Meknés,batch3_2026,0,0,0,1,0,0
loc_01152,Fés-Meknés,batch3_2026,0,0,0,0,0,0
loc_01153,Fés-Meknés,batch3_2026,0,0,0,0,0,0
loc_01154,Fés-Meknés,batch3_2026,0,0,0,1,1,1
loc_01155,Fés-Meknés,batch3_2026,0,0,0,0,1,0
loc_01156,Fés-Meknés,batch3_2026,0,0,0,1,0,1
loc_01157,Fés-Meknés,batch3_2026,0,0,0,1,1,1
loc_01158,Fés-Meknés,batch3_2026,0,0,0,1,1,1
loc_01159,Fés-Meknés,batch3_2026,0,0,0,0,1,1
loc_01160,Fés-Meknés,batch3_2026,0,0,0,1,1,1
loc_01161,Fés-Meknés,batch3_2026,0,0,0,0,0,0
loc_01162,Fés-Meknés,batch3_2026,0,0,0,0,1,1
loc_01163,Guelmim-Oued Noun,batch3_2026,0,0,0,1,0,0
loc_01164,Guelmim-Oued Noun,batch3_2026,0,0,0,1,0,0
loc_01167,Guelmim-Oued Noun,batch3_2026,0,0,0,1,1,1
loc_01168,Guelmim-Oued Noun,batch3_2026,0,0,0,0,1,1
loc_01169,Guelmim-Oued Noun,batch3_2026,0,0,0,0,1,1
loc_01170,Guelmim-Oued Noun,batch3_2026,0,0,0,0,1,1
loc_01171,Guelmim-Oued Noun,batch3_2026,0,0,0,0,1,1
loc_01172,Guelmim-Oued Noun,batch3_2026,0,0,0,0,1,1
loc_01173,Guelmim-Oued Noun,batch3_2026,0,0,0,1,1,1
loc_01174,Guelmim-Oued Noun,batch3_2026,0,0,0,1,1,1
loc_01175,Guelmim-Oued Noun,batch3_2026,0,0,0,1,1,1
loc_01176,Guelmim-Oued Noun,batch3_2026,0,0,0,1,1,1
loc_01177,Guelmim-Oued Noun,batch3_2026,0,0,0,1,1,1
loc_01178,Guelmim-Oued Noun,batch3_2026,0,0,0,1,1,1
loc_01179,Guelmim-Oued Noun,batch3_2026,0,0,0,1,1,1
loc_01180,Guelmim-Oued Noun,batch3_2026,0,0,0,1,0,1
loc_01181,Guelmim-Oued Noun,batch3_2026,0,0,0,0,1,1
loc_01182,Guelmim-Oued Noun,batch3_2026,0,0,0,1,1,1
loc_01183,Guelmim-Oued Noun,batch3_2026,0,0,0,1,0,0
loc_01195,Marrakech-Safi,batch3_2026,0,0,0,1,0,0
loc_01196,Marrakech-Safi,batch3_2026,0,0,0,1,1,0
loc_01197,Souss-Massa,batch3_2026,0,0,0,1,1,1
loc_01198,Laayoune-Sakia El Hamra,batch3_2026,0,0,1,0,0,0
loc_01199,Grand Casablanca-Settat,batch3_2026,0,0,0,1,1,0
loc_01200,Grand Casablanca-Settat,batch3_2026,0,0,0,0,1,1
loc_01201,Grand Casablanca-Settat,batch3_2026,0,0,0,1,0,1
loc_01202,Grand Casablanca-Settat,batch3_2026,0,0,0,1,0,1
loc_01203,Souss-Massa,batch3_2026,1,1,1,0,0,0
loc_01204,Grand Casablanca-Settat,batch3_2026,0,0,0,0,0,0
loc_01205,Grand Casablanca-Settat,batch3_2026,0,0,0,0,1,1
loc_01206,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01207,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01208,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01209,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01210,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01211,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01212,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01213,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01214,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01215,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01216,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_01217,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01218,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_01219,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_01220,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_01221,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,1
loc_01222,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_01223,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_01224,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,0
loc_01225,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_01226,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_01227,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_01228,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,1
loc_01229,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,0
loc_01230,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,0
loc_01231,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,0
loc_01232,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,1
loc_01233,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,1
loc_01234,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01235,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,1
loc_01236,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01237,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01238,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01239,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01240,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,1
loc_01241,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01242,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,1
loc_01243,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,1
loc_01244,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01245,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01246,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_01247,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,1
loc_01248,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01249,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01250,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01251,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01252,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_01253,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01254,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01255,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01256,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01257,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01258,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01259,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01260,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01261,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_01262,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01263,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01264,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01265,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01266,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01267,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_01268,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
