Locality_ID,Expert_Class,Region,Latitude_WGS84,Longitude_WGS84,Dist_to_Highway_m,Slope_deg,Ruggedness,Elevation_m,LULC_Friction,Dist_to_Settlement_m,Expert_Merged,origin,proba,pred,correct,y,region_threshold,pred_regiontuned
loc_00914,Moderate,Fés-Meknés,33.42688888888889,-4.419608333333334,2329.9679566739483,8.261688254904916,4.879580078125,1443.678955078125,0.15,29618.86318972793,Moderate,original_733,0.105210340598478,0,True,0,0.34,0
loc_00915,Moderate,Fés-Meknés,33.44114166666667,-4.395372222222223,4309.261984877849,21.181365092113108,13.3184716796875,1300.6700439453125,0.15,32193.49394729596,Moderate,original_733,0.4737684865945961,0,True,0,0.34,1
loc_01020,Difficult,Fés-Meknés,33.47374722222222,-4.638691666666666,259.13843592005327,22.53863510092343,14.6402294921875,1216.483154296875,0.15,14853.432339276533,Difficult,original_733,0.7558596987052473,1,True,1,0.34,1
loc_01021,Difficult,Fés-Meknés,33.96036666666667,-3.96215,3677.027163888008,33.41302392640976,22.4455712890625,1228.287353515625,0.55,30322.32919657913,Difficult,original_733,0.8034183749395115,1,True,1,0.34,1
loc_01022,Difficult,Fés-Meknés,33.598683333333334,-4.774555555555556,2310.19525554112,14.217622137475733,9.4738232421875,1474.72607421875,0.15,25734.811018677305,Difficult,original_733,0.4337748786964249,0,False,1,0.34,1
loc_01023,Easy,Fés-Meknés,33.64166111111111,-4.991175,632.6047403584067,9.366993086709902,5.9157763671875,1495.085205078125,0.15,16636.51231576561,Easy,original_733,0.5629888690748659,1,False,0,0.34,1
loc_01024,Difficult,Fés-Meknés,33.05074722222222,-5.280627777777778,1553.0013653473109,30.750561221683967,23.8043701171875,1587.829833984375,0.15,42933.028128818674,Difficult,original_733,0.3413219623354877,0,False,1,0.34,1
loc_01025,Moderate,Fés-Meknés,33.44948333333333,-4.338158333333333,465.35646190835286,25.958094305194656,15.8967333984375,1342.886962890625,0.15,37561.29341413098,Moderate,original_733,0.7488682615571485,1,False,0,0.34,1
loc_01026,Difficult,Fés-Meknés,33.54183055555556,-4.4101944444444445,2755.204266892191,26.84630619930157,12.50006103515625,1002.31298828125,0.15,35635.07080784893,Difficult,original_733,0.6989458081992637,1,True,1,0.34,1
loc_01027,Difficult,Fés-Meknés,33.72211388888889,-4.227055555555555,2103.686548442693,23.45633355670181,9.426806640625,1238.8206787109375,0.15,57191.92377216231,Difficult,original_733,0.7474999012058348,1,True,1,0.34,1
loc_01028,Difficult,Fés-Meknés,33.463369444444446,-4.682261111111111,789.1081885549904,14.911833106884378,9.1682080078125,1339.7427978515625,0.15,11911.184731594927,Difficult,original_733,0.3935786672811585,0,False,1,0.34,1
loc_01029,Difficult,Fés-Meknés,33.48104444444444,-4.7156,402.9691486939232,15.924892766489243,9.3374462890625,1419.6044921875,0.35,13101.80765236788,Difficult,original_733,0.3182612858570046,0,False,1,0.34,0
loc_01030,Difficult,Fés-Meknés,33.72848611111111,-4.238280555555556,1208.9592736273974,35.094060239075134,18.7445947265625,1140.9842529296875,0.35,56033.8447084437,Difficult,original_733,0.6437619059123413,1,True,1,0.34,1
loc_01031,Difficult,Fés-Meknés,33.25000555555555,-4.836361111111111,683.595515160411,21.10834476711648,12.827529296875,2237.478271484375,0.15,16080.2559631505,Difficult,original_733,0.3835192196956902,0,False,1,0.34,1
loc_01032,Difficult,Fés-Meknés,33.94078888888889,-3.992705555555556,3705.204106072569,38.715369208152346,25.85675537109375,902.8536987304688,0.55,32215.912009581672,Difficult,original_733,0.8225191609810653,1,True,1,0.34,1
loc_01033,Difficult,Fés-Meknés,33.73351666666667,-4.2394388888888885,1415.5717477477376,43.565830595777086,38.39783203125,1157.4622802734375,0.15,55822.66091847706,Difficult,original_733,0.1012676644899682,0,False,1,0.34,0
loc_01034,Difficult,Fés-Meknés,33.16766944444444,-5.177058333333334,2808.125642506752,22.746770514157586,10.9420947265625,1728.0906982421875,0.15,29992.35689915712,Difficult,original_733,0.6349882984853898,1,True,1,0.34,1
loc_01035,Moderate,Fés-Meknés,33.762230555555554,-5.143988888888889,2960.7068656097067,14.866713935151324,8.524951171875,1070.7708740234375,0.15,26308.010167082884,Moderate,original_733,0.6225920162813573,1,False,0,0.34,1
loc_01037,Moderate,Fés-Meknés,33.48793888888889,-4.806505555555556,4062.074867846755,10.415086626039322,6.095283203125,1568.5889892578125,0.15,15541.032212991084,Moderate,original_733,0.5001700746143926,1,False,0,0.34,1
loc_01038,Difficult,Fés-Meknés,33.90555277777778,-4.027030555555555,200.83932164968368,7.736933598318186,3.75603759765625,876.13525390625,0.35,36127.7783562956,Difficult,original_733,0.2738219393151049,0,False,1,0.34,0
