Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Elevation_m,Slope_deg,Ruggedness,Dist_to_Highway_m,LULC_Friction,Dist_to_Settlement_m,Geology_Class,Soil_Class
loc_00070,Karkoura Triassic,33.8575,-4.61889,Fez-Meknes,,519.3143310546875,14.910228938568112,8.9386376953125,1091.3819028867772,0.35,20134.572714098373,48.0,3.0
loc_00071,Mellaha Triassic,33.77278,-4.58333,Fez-Meknes,,613.677490234375,26.01912061063667,18.35306884765625,4197.194597161801,0.35,23816.99538989533,71.0,3.0
loc_00073,El Menzel Jurassic,33.845,-4.53778,Fez-Meknes,,978.5252075195312,9.336368823705175,4.83167236328125,298.9078325616579,0.2,27389.938623951723,71.0,3.0
loc_00074,Taghit Ammonites,33.76583,-4.52194,Fez-Meknes,,1149.539794921875,25.11772949156501,14.4213037109375,645.0190976673597,0.35,29515.01017758117,71.0,8.0
loc_00075,El Qualaa Travertines,33.84139,-4.54778,Fez-Meknes,,901.9246215820312,16.6921192265091,13.366796875,462.63620617854986,0.05,26439.176297582944,8.0,3.0
loc_00076,El Menzel Paleosols,33.84667,-4.5425,Fez-Meknes,,941.7730712890625,14.891562819882612,8.20158203125,47.570817090571616,0.15,26971.232875279085,71.0,3.0
loc_00077,Beni Yazgha Thrust Fault,33.84611,-4.60944,Fez-Meknes,,856.5029296875,35.27529698704535,25.98109375,346.2109156739486,0.15,20813.75830446215,8.0,3.0
loc_00078,El Menzel Fault,33.83306,-4.53306,Fez-Meknes,,1016.7515869140625,14.357404849556799,8.73738037109375,676.0509306974975,0.15,27751.316477553428,8.0,3.0
loc_00079,Taghit Thrust Fault,33.76806,-4.51139,Fez-Meknes,,1292.0992431640625,23.91438753642316,14.1037646484375,995.1127792794438,0.35,30413.34990255421,71.0,8.0
loc_00080,Quasbat Beni Yazgha Polje,33.82833,-4.59361,Fez-Meknes,,815.710205078125,5.21283297504143,3.024052734375,2376.8232135359635,0.55,22147.376451490025,8.0,3.0
loc_00081,Jbel Taferguicht,33.81306,-4.62972,Fez-Meknes,,734.2637939453125,26.074139922240807,14.787900390625,2594.5546332307335,0.15,18856.19966073044,71.0,3.0
loc_00082,Jbel El Knisiya,33.81556,-4.62222,Fez-Meknes,,746.4080810546875,31.61757849505583,23.4442236328125,2701.53835338719,0.35,19530.3897380335,71.0,3.0
loc_00083,Oued Sebou,33.81139,-4.60917,Fez-Meknes,,553.4389038085938,21.851704012190872,13.55252197265625,3860.4468332460838,0.35,20763.223592040973,71.0,3.0
loc_00084,Allal El Fassi Dam,33.92278,-4.65083,Fez-Meknes,,415.5,0.0,0.0,845.460323080027,0.9,20058.84014881111,48.0,8.0
loc_00086,Ordovician plicative structures of Mrirt,33.1,-5.586833333333333,Beni Mellal-Khenifra,,1119.3624267578125,15.647235852624917,8.6985693359375,11.04024684883893,0.05,50026.58533385467,46.0,9.0
loc_00087,Permian granitic dyke of Tighza,33.197833333333335,-5.617,Beni Mellal-Khenifra,,1113.6739501953125,3.5356060044312208,1.3670166015625,11.749229573511526,0.2,44796.624106838826,46.0,3.0
loc_00088,Clay matrix conglomerates of Permian in Khenifra,32.954,-5.685833333333333,Beni Mellal-Khenifra,,882.3032836914062,9.165689956986162,4.509794921875,0.5573003323919519,0.05,68389.23812403741,65.0,3.0
loc_00089,Permian alternating clay and sand stonebeds of Khenifra,32.9605,-5.688,Beni Mellal-Khenifra,,876.345703125,5.961064702911789,2.588115234375,9.517643597466739,0.15,67952.62494709431,65.0,3.0
loc_00090,Permian/Ordovician unconformity of Iaarochen,33.02883333333333,-5.614333333333334,Beni Mellal-Khenifra,,918.9729614257812,13.15485888108419,6.32427734375,450.2144174273372,0.15,57725.85262338214,65.0,9.0
loc_00091,Permian/Ordovician unconformity of Assabera,33.0495,-5.614333333333334,Beni Mellal-Khenifra,,927.8558349609375,5.622781295930235,2.63309326171875,3.5988223954452776,0.05,55947.143703957685,46.0,9.0
loc_00092,Quaternary basalts of Oued Oum Er-Rbia,32.9955,-5.652,Beni Mellal-Khenifra,,874.0926513671875,12.721256631310341,7.04056884765625,1.9755441831149625,0.15,62814.83086748042,65.0,3.0
loc_00093,Tasraft,32.16011388888889,-5.9311138888888895,Beni Mellal-Khenifra,,2472.880126953125,12.598643421026688,6.24408203125,964.5640302552133,0.15,44173.958122243755,8.0,9.0
loc_00094,Aftis,32.08293333333334,-5.938702777777778,Beni Mellal-Khenifra,,2038.010498046875,36.97846488992617,23.1365380859375,957.138280063211,0.15,47982.8548703005,71.0,9.0
loc_00095,Moriq,32.101422222222226,-5.892983333333333,Beni Mellal-Khenifra,,2159.90185546875,17.034882282580078,9.219541015625,2890.3588151114627,0.15,50452.18591056081,71.0,9.0
loc_00096,Tamekaste,32.07391388888889,-5.918491666666667,Beni Mellal-Khenifra,,1722.823974609375,10.90818538950291,4.4590087890625,678.7609558140778,0.15,50115.25745304822,71.0,9.0
loc_00097,Anergui,32.06339444444444,-5.927097222222223,Beni Mellal-Khenifra,,1604.8712158203125,15.490973089756501,8.2573681640625,734.961139568784,0.15,50151.78471094766,71.0,9.0
loc_00098,Taguentourte,32.04814444444444,-5.935125,Beni Mellal-Khenifra,,1494.77978515625,6.273295015296484,2.8788720703125,1775.2130096306084,0.1,50600.77509664378,71.0,9.0
loc_00099,Ouriz,32.03783055555555,-5.949066666666667,Beni Mellal-Khenifra,,1985.6529541015625,38.312689509456895,26.4453173828125,3190.050305569012,0.15,50332.248367985136,8.0,9.0
loc_00100,Tagount,32.01144722222222,-5.942555555555556,Beni Mellal-Khenifra,,1577.819580078125,31.387854360830964,21.5384375,5882.381033739846,0.15,52751.54123506416,71.0,9.0
loc_00101,Tizi N'Dari,32.01065555555556,-5.929797222222223,Beni Mellal-Khenifra,,1739.6810302734375,53.99280937990308,48.154208984375,5955.30120273799,0.15,53696.929316445625,71.0,9.0
loc_00102,Batly,32.003619444444446,-5.923263888888889,Beni Mellal-Khenifra,,1651.455078125,39.85804637429383,28.6862548828125,6809.249552174218,0.15,54679.02577521456,71.0,9.0
loc_00103,Inoufigun,31.99865,-5.929397222222223,Beni Mellal-Khenifra,,1968.442626953125,32.79018492921846,20.785126953125,7284.920179707209,0.15,54629.72228246543,71.0,9.0
loc_00104,Imaouen N’Tfalouine,32.077875000000006,-5.95465,Beni Mellal-Khenifra,,1542.2723388671875,39.30513995886881,29.7560888671875,2040.1334583875826,0.15,47110.19420942171,71.0,9.0
loc_00105,Akhachane,32.054116666666665,-6.080561111111111,Beni Mellal-Khenifra,,1427.62255859375,25.6499520139012,14.3642919921875,6727.483515283574,0.1,40357.31476283958,71.0,9.0
loc_00106,Igra,32.06207777777777,-6.065869444444444,Beni Mellal-Khenifra,,1279.813232421875,30.512196016691785,24.3117578125,7932.24390638204,0.15,40585.398596611725,71.0,9.0
loc_00107,Ifri N'Khettab,32.017538888888886,-6.201827777777778,Beni Mellal-Khenifra,,1217.5174560546875,20.19403924165543,11.6021337890625,308.76714908537457,0.35,37988.13385673349,71.0,9.0
loc_00108,Ait Abdi,31.86734166666667,-5.98155,Beni Mellal-Khenifra,,2684.586181640625,26.218846425293876,18.34375,11398.297811117003,0.15,57411.26931842646,71.0,9.0
loc_00109,Sidi Boulknadel pipes,34.126533333333334,-6.755861111111111,Rabat-Sale-Kenitra,,0.0,4.232684538412844,1.2817199516296387,748.089374245497,0.9,14030.11918431465,17.0,3.0
loc_00110,Carboniferous hills of Korifla river panorama,33.74092777777778,-6.746533333333334,Rabat-Sale-Kenitra,,146.39503479003906,13.898377367803278,9.103771362304688,484.83673972559814,0.55,32428.3982614091,26.0,5.0
loc_00111,Lower Devonian carbonate concretion east of Ezzehiliga,33.310025,-6.543025,Rabat-Sale-Kenitra,,754.3960571289062,16.311009230808803,8.82775390625,508.12764123530206,0.15,58203.85848395372,67.0,8.0
