Observation_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Geological_Domain,Locality_Center_Lat,Locality_Center_Lon,Locality_Group_Key,Coordinate_Precision,Source_File,Source_Row_Ref,Center_Coord_Source,Is_Merchich_Format
obs3_00112,Imaouen N’Tfalouine,32.077875000000006,-5.95465,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,120,,False
obs3_00113,Akhachane,32.054116666666665,-6.080561111111111,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,121,,False
obs3_00114,Igra,32.06207777777777,-6.065869444444444,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,122,,False
obs3_00115,Ifri N'Khettab,32.017538888888886,-6.201827777777778,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,123,,False
obs3_00116,Ait Abdi,31.86734166666667,-5.98155,Beni Mellal-Khenifra,,High Atlas,,,geoheritage_aug16_2026_group_4,point,geoheritage_aug16_2026,124,,False
obs3_00117,Chtifat (C 1),33.31166666666666,-5.135000000000001,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,126,,False
obs3_00118,Chtifat (C 2),33.295833333333334,-5.128888888888889,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,127,,False
obs3_00119,Lachmine Lakbir (LA 1),33.19499999999999,-5.111666666666666,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,128,,False
obs3_00120,Ait Quassou,33.19222222222222,-5.0680555555555555,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,129,,False
obs3_00121,Lachmine Izyar,33.265,-5.110833333333333,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,130,,False
obs3_00122,Tahabrite (T 2),33.347500000000004,-5.126944444444444,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,131,,False
obs3_00123,Tahabrite (T 3),33.346944444444446,-5.120555555555555,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,132,,False
obs3_00124,Boutjatiout,33.362500000000004,-5.116111111111111,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,133,,False
obs3_00125,Boutagarouine (B 2),33.283055555555556,-5.106944444444444,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,134,,False
obs3_00126,Tichout Tazouggaght,33.34583333333334,-5.160833333333334,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,135,,False
obs3_00127,Tamarakoit,33.06166666666666,-5.066111111111111,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,136,,False
obs3_00128,Tamahrart,33.51138888888889,-5.2525,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,137,,False
obs3_00129,Tizi Idguel,33.393055555555556,-5.159166666666667,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,138,,False
obs3_00130,Selrhert (S 1),33.17611111111111,-4.993055555555555,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,139,,False
obs3_00131,Selrhert (S 2),33.18055555555555,-4.998888888888889,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,140,,False
obs3_00132,Ta0issaouit (Ta 1),33.32194444444445,-5.096666666666667,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,141,,False
obs3_00133,Ta0issaouit (Ta 2),33.31805555555556,-5.113611111111111,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,142,,False
obs3_00134,Sidi Boundouh,33.23638888888889,-5.076944444444444,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,143,,False
obs3_00135,Timahdite,33.23027777777778,-5.066944444444444,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,144,,False
obs3_00136,H1,33.37555555555556,-5.14638888888889,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,145,,False
obs3_00137,H2,33.36388888888889,-5.153611111111111,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,146,,False
obs3_00138,Ich Ouaharrouq (IO 1),33.401944444444446,-5.151666666666667,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,147,,False
obs3_00139,Ich Ouaharrouq (IO 2),33.39833333333333,-5.135000000000001,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,148,,False
