Geological domain,Administrative region,Auteurs,Titre,Evaluated geosites,Geosite's type,Coordinates,,,,,,,,,,,
,,,,Igra,,"32° 3'43.48""N","6° 3'57.13""W",,,,,,,,,,
,,,,Ifri N'Khettab,,"32° 1'3.14""N","6°12'6.58""W",,,,,,,,,,
,,,,Ait Abdi,,"31°52'2.43""N","5°58'53.58""W",,,,,,,,,,
Middle Atlas,Beni Mellal-Khenifra,"Benamrane et al., 2022",Geomorphological Classification of Monogenetic Volcanoes and Its Implication to Tectonic Stress Orientation in the Middle Atlas Volcanic Field (Morocco),H3,,"33°23'00""N","5°90'23""W",,,,,,,,,,
,,,,Chtifat (C 1),,"33°18'42""N","5°8'6""W",,,,,,,,,,
,,,,Chtifat (C 2),,"33°17'45""N","5°7'44""W",,,,,,,,,,
,,,,Lachmine Lakbir (LA 1),,"33°11'42""N","5°6'42""W",,,,,,,,,,
,,,,Ait Quassou,,"33°11'32""N","5°4'5""W",,,,,,,,,,
,,,,Lachmine Izyar,,"33°15'54""N","5°6'39""W",,,,,,,,,,
,,,,Tahabrite (T 2),,"33°20'51""N","5°7'37""W",,,,,,,,,,
,,,,Tahabrite (T 3),,"33°20'49""N","5°7'14""W",,,,,,,,,,
,,,,Boutjatiout,,33°21′45″ N,5°06′58″ W,,,,,,,,,,
,,,,Boutagarouine (B 2),,33°16′59″ N,5°06′25″ W,,,,,,,,,,
,,,,Tichout Tazouggaght,,33°20′45″ N,5°09′39″ W,,,,,,,,,,
,,,,Tamarakoit,,33°03′42″ N,5°03′58″ W,,,,,,,,,,
,,,,Tamahrart,,33°30′41″ N,5°15′09″ W,,,,,,,,,,
,,,,Tizi Idguel,,33°23′35″ N,5°09′33″ W,,,,,,,,,,
,,,,Selrhert (S 1),,33°10′34″ N,4°59′35″ W,,,,,,,,,,
,,,,Selrhert (S 2),,33°10′50″ N,4°59′56″ W,,,,,,,,,,
,,,,Ta0issaouit (Ta 1),,33°19′19″ N,5°05′48″ W,,,,,,,,,,
,,,,Ta0issaouit (Ta 2),,33°19′05″ N,5°06′49″ W,,,,,,,,,,
,,,,Sidi Boundouh,,33°14′11″ N,5°04′37″ W,,,,,,,,,,
,,,,Timahdite,,33°13′49″ N,5°04′01″ W,,,,,,,,,,
,,,,H1,,33°22′32″ N,5°08′47″ W,,,,,,,,,,
,,,,H2,,33°21′50″ N,5°09′13″ W,,,,,,,,,,
,,,,Ich Ouaharrouq (IO 1),,33°24′07″ N,5°09′06″ W,,,,,,,,,,
,,,,Ich Ouaharrouq (IO 2),,33°23′54″ N,5°08′06″ W,,,,,,,,,,
,,,,Chtifat (C 3),,33°17′51″ N,5°07′22″ W,,,,,,,,,,
,,,,Sud Izyar,,33°14′42″ N,5°05′47″ W,,,,,,,,,,
,,,,Azougouash,,32°58′21″ N,5°08′29″ W,,,,,,,,,,
,,,,Houirt,,33°39′11″ N,4°36′54″ W,,,,,,,,,,
,,,,Bekrit,,33°03′45″ N,5°14′25″ W,,,,,,,,,,
,,,,Outgui,,33°38′02″ N,5°14′53″ W,,,,,,,,,,
,,,,Si Mghid,,33°11′45″ N,5°15′38″ W,,,,,,,,,,
,,,,Ariana,,33°30′59″ N,5°14′34″ W,,,,,,,,,,
,,,,Ain Kahla,,33°13′41″ N,5°13′09″ W,,,,,,,,,,
,,,,Sidi abdel aziz,,33°15′43″ N,5°03′14″ W,,,,,,,,,,
,,,,Louugnina,,33°00′39″ N,4°49′56″ W,,,,,,,,,,
