Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Geological_Domain,Observation_Count,Member_Observation_IDs,Source_Files,Correction_Applied,Ground_Truth_Note
loc_00129,Aïn Sebou,33.73694444444445,-4.532777777777778,Fès-Meknès,K,Middle Atlas,2,obs2_00147;obs2_00973,geoheritage_expanded_20260809,,
loc_00130,Addan onion peels,29.213335,-8.203033,Souss-Massa,G,Anti-Atlas ,1,obs2_00148,geoheritage_expanded_20260809,,
loc_00131,Akka badlands,29.483864,-8.295043,Souss-Massa,G,Anti-Atlas ,1,obs2_00149,geoheritage_expanded_20260809,,
loc_00132,Tata hearts,29.483864,-8.295043,Souss-Massa,G,Anti-Atlas ,1,obs2_00150,geoheritage_expanded_20260809,,
loc_00133,Imitek Karsts,29.603338,-8.251098,Souss-Massa,G,Anti-Atlas ,1,obs2_00151,geoheritage_expanded_20260809,,
loc_00134,Issafenflat-irons,29.854611,-8.533996,Souss-Massa,G,Anti-Atlas ,1,obs2_00152,geoheritage_expanded_20260809,,
loc_00135,Tadakoust Pyramids,29.270107,-8.678496,Souss-Massa,G,Anti-Atlas ,1,obs2_00153,geoheritage_expanded_20260809,,
loc_00136,Issafen chevrons,29.850649,-8.512572,Souss-Massa,G,Anti-Atlas ,1,obs2_00154,geoheritage_expanded_20260809,,
loc_00137,Ait Ouabelli chasms,29.213335,-8.203033,Souss-Massa,G,Anti-Atlas ,1,obs2_00155,geoheritage_expanded_20260809,,
loc_00138,Tagmout mask,29.270107,-8.678496,Souss-Massa,G,Anti-Atlas ,1,obs2_00156,geoheritage_expanded_20260809,,
loc_00139,Alougoum Pyramid,29.442398,-8.264208,Souss-Massa,G,Anti-Atlas ,1,obs2_00157,geoheritage_expanded_20260809,,
loc_00140,Messalite cave,29.442398,-8.264208,Souss-Massa,G,Anti-Atlas ,1,obs2_00158,geoheritage_expanded_20260809,,
loc_00141,Tamzrart Petrified waterfall,29.339495,-8.52788,Souss-Massa,G,Anti-Atlas ,1,obs2_00159,geoheritage_expanded_20260809,,
loc_00142,Foum Zguid water gap,30.140782,-6.877585,Souss-Massa,G,Anti-Atlas ,1,obs2_00160,geoheritage_expanded_20260809,,
loc_00143,Tissint water gap,29.91642,-7.374716,Souss-Massa,G,Anti-Atlas ,1,obs2_00161,geoheritage_expanded_20260809,,
loc_00144,Sidi Rezzoug water gap,29.748743,-7.659674,Souss-Massa,G,Anti-Atlas ,1,obs2_00162,geoheritage_expanded_20260809,,
loc_00145,Tata water gap,29.705037,-7.986517,Souss-Massa,G,Anti-Atlas ,1,obs2_00163,geoheritage_expanded_20260809,,
loc_00146,Akka water gap,29.475754,-8.277655,Souss-Massa,G,Anti-Atlas ,1,obs2_00164,geoheritage_expanded_20260809,,
loc_00147,Ait Ouabelli water gap,29.240173,-8.53858,Souss-Massa,G,Anti-Atlas ,1,obs2_00165,geoheritage_expanded_20260809,,
loc_00148,Icht water gap,29.086675,-8.85169,Souss-Massa,G,Anti-Atlas ,1,obs2_00166,geoheritage_expanded_20260809,,
loc_00149,Fam El Hisn water gap,29.06027,-8.925848,Souss-Massa,G,Anti-Atlas ,1,obs2_00167,geoheritage_expanded_20260809,,
loc_00150,Tizgui Ida Ou Baloul water gap,29.741683,-8.50205,Souss-Massa,G,Anti-Atlas ,1,obs2_00168,geoheritage_expanded_20260809,,
loc_00151,Ibn Yaakoub water gap,30.068945,-7.954123,Souss-Massa,G,Anti-Atlas ,1,obs2_00169,geoheritage_expanded_20260809,,
loc_00152,Rokan water gap,29.983764,-7.95061,Souss-Massa,G,Anti-Atlas ,1,obs2_00170,geoheritage_expanded_20260809,,
