Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Elevation_m,Slope_deg,Ruggedness,Dist_to_Highway_m,LULC_Friction,Dist_to_Settlement_m
loc_00186,Engravings in Tamzrart region,29.31243055555556,-8.493838888888888,Souss-Massa,579.0457153320312,27.939648352680308,18.05424072265625,647.6535382131163,0.1,70007.02768807815
loc_00187,engravings in Tadakous,29.264425,-8.709041666666666,Souss-Massa,604.427001953125,36.53620952664103,25.80380126953125,1782.4403053976175,0.1,89401.53339158285
loc_00192,Laila Island,35.916551,-5.406037,Tanger-Tétouan-Al Hoceïma,74.5575180053711,22.77733457100382,11.78494644165039,1129.8182261070572,0.15,9492.997944012208
loc_00197,Akhfénir Cliff,28.15,-12.066666666666666,Laayoune-Dakhla,0.0,0.0,0.0,5728.080603499461,0.9,156881.41879184853
loc_00199,Sand dunes,28.15,-12.1,Laayoune-Dakhla,0.0,0.0,0.0,7233.550265190323,0.9,154572.33630207283
loc_00204,Akhfennir Sinkhole,28.166666666666668,-12.05,Laayoune-Dakhla,0.0,0.0,0.0,6591.580221496209,0.9,159346.1897945999
loc_00208,Water spring,34.889091666666666,-4.948152777777778,Tanger-Tétouan-Al Hoceïma,516.2889404296875,21.573050230658804,12.452291259765625,4823.910444196412,0.15,42628.105774661795
loc_00209,Panoramic view to the folded mountains,34.92726111111111,-4.86625,Tanger-Tétouan-Al Hoceïma,698.6382446289062,13.451138417363145,7.735771484375,6639.343318466891,0.15,45398.36203133429
loc_00210,Petrified wood intruded by iron deposits,34.88933611111111,-4.895605555555555,Tanger-Tétouan-Al Hoceïma,883.7911987304688,32.63461603844383,21.8155859375,8150.119612599887,0.35,46014.54791226941
loc_00211,Stromatolites,34.93650555555556,-4.911755555555556,Tanger-Tétouan-Al Hoceïma,584.5072631835938,20.093061854527402,12.09234619140625,3360.5489124690444,0.15,41480.622611913845
loc_00212,Caristified cave stalactite,34.91381388888889,-4.8143666666666665,Tanger-Tétouan-Al Hoceïma,1153.15283203125,16.64060665506177,9.4480908203125,4251.404558790859,0.15,50118.89774341145
loc_00213,Karastified limestone rocks eroded,34.90966111111111,-4.75915,Tanger-Tétouan-Al Hoceïma,1306.4986572265625,18.731290947907254,9.1878271484375,3503.196900898298,0.15,54582.03694796248
loc_00214,Hill shades of limestone rocks,34.959294444444446,-4.832261111111111,Tanger-Tétouan-Al Hoceïma,822.80224609375,7.463772028311458,3.93003173828125,3276.9190194069265,0.15,46020.102227411495
loc_00223,Targha mica-shist,35.40295890834344,-5.016487943783649,Tanger-Tétouan-Al Hoceïma,-0.9190643429756165,4.819587773176032,2.467520930469036,1036.5838571111137,0.9,33357.48878318234
loc_00225,Beni Bousera Kinzigites,35.318247912237204,-4.932783085516994,Tanger-Tétouan-Al Hoceïma,182.98268127441406,24.016769270763128,15.32809814453125,233.22822977115163,0.55,34711.479665877625
loc_00226,Tihissasse fan delta,35.333329499968634,-4.941882588174127,Tanger-Tétouan-Al Hoceïma,1.0327649116516113,0.7238797026836816,0.29154926657676694,800.5743515326036,0.15,34836.756565029886
loc_00273,Thedolerite sill of Ouzoud,32.03553888888889,-6.705880555555556,Beni Mellal-Khenifra,745.7640991210938,38.72423265450473,26.4269775390625,1074.5623304617843,0.15,46942.06279555676
loc_00274,Ouzoud travertines,32.01728611111111,-6.722075,Beni Mellal-Khenifra,711.20751953125,29.111398340891885,20.25622802734375,659.438595211254,0.55,49458.75039518599
loc_00275,Estuary of Oued Tassakht,31.98703888888889,-6.702097222222222,Beni Mellal-Khenifra,849.3216552734375,25.187475118929424,11.9757275390625,2588.982116380019,0.15,50674.47348005278
loc_00276,Oued EL Abid gorges and caves,32.16708611111111,-6.259005555555556,Beni Mellal-Khenifra,841.6160278320312,16.97496427158525,8.5710888671875,4810.149957753914,0.55,20590.282488556502
loc_00277,Azilal formation intruded by Tanaghmelt sill,32.01875277777778,-6.744566666666667,Beni Mellal-Khenifra,903.2830200195312,17.301221191660627,9.75216064453125,2201.3779619735706,0.35,50853.60953924793
loc_00278,Zaouit Tanaghmelt,32.01884722222222,-6.736566666666667,Beni Mellal-Khenifra,734.1459350585938,18.364878530874286,10.27474365234375,1810.9976873981925,0.35,50303.78508825421
loc_00279,Basaltic flows of Ouzoud,32.00188611111111,-6.746133333333334,Beni Mellal-Khenifra,776.8106689453125,9.61903961477389,4.85190673828125,972.3530336266026,0.15,52271.468240365575
loc_00280,Ouzoud springs,31.9898,-6.71375,Beni Mellal-Khenifra,805.941650390625,25.988617392564777,16.15991943359375,1841.1123439281585,0.55,51161.358459979965
loc_00290,Radiating dykes Taghia-n-Ait Boulmane,32.20174444444445,-6.117430555555555,Beni Mellal-Khénifra,1239.09033203125,16.75132387858506,10.52630859375,3261.6485102626307,0.15,26624.493782431073
loc_00295,Travertines of Tighalghalt,32.24314444444445,-6.2370833333333335,Beni Mellal-Khénifra,1301.8951416015625,13.7411714333889,9.1489892578125,1569.1220449224,0.15,14896.75257803648
loc_00298,The community granaries of Taghia-n-Ait Boulmane,32.18385277777777,-6.095055555555556,Beni Mellal-Khénifra,1418.819580078125,15.457194876008316,7.7826416015625,6002.977899964528,0.55,29483.660974184346
loc_00310,wadi Ziz canyon,32.15258333333333,-4.374058333333333,Draa-Tafilalet ,1221.9346923828125,10.328515836872139,5.655322265625,97.11297865410454,0.1,25487.274334807007
loc_00311,Hammat Moulay Ali Cherif,32.18263333333333,-4.367130555555555,Draa-Tafilalet ,1214.7119140625,5.2558036953288125,3.15484375,227.37662271747865,0.05,28890.23285137546
loc_00312,Hassan Addakhil Dam Lake,32.02576111111111,-4.463383333333334,Draa-Tafilalet ,1165.4847412109375,9.804620584593842,5.9761865234375,102.17846669305497,0.1,11099.083769459385
loc_00313,Tunnel Zaabel,32.171902777777774,-4.367847222222222,Draa-Tafilalet ,1283.3701171875,36.21056713421989,27.3458837890625,1.5533693487055127,0.1,27711.86836846297
loc_00314,Ziz Valley Ait Atmane,32.08546944444445,-4.383705555555556,Draa-Tafilalet ,1146.6533203125,2.849634781400028,0.864609375,284.01403851616925,0.1,18025.790358061502
loc_00315,Waterfall,32.079752777777784,-4.375116666666666,Draa-Tafilalet ,1300.927734375,28.915539532259587,16.788046875,708.4225725987916,0.35,17651.56446355436
loc_00316,Panoramic view from the Kettara intrusion,31.873697222222223,-8.168141666666665,Marrakech-Safi,473.4563293457031,6.839629425829573,3.472020263671875,1461.4422554021035,0.1,32343.044758800745
loc_00317,Mineralized quartz-chlorite vein cutting the schists at a low angle in the Kettara gossan,31.86613611111112,-8.177069444444443,Marrakech-Safi,478.0519104003906,13.335787052414611,8.903316650390625,537.333037699702,0.1,32089.630395323114
loc_00318,"Mineralized quartz-chlorite vein cutting the schists at a 
low angle in the Kettara gossan",31.876741666666668,-8.143633333333334,Marrakech-Safi,632.4528198242188,20.685784179801278,12.5391748046875,1681.112840757413,0.1,31492.456037195887
loc_00319,"Specimen from the drill core showing a mineralized quartz-chlorite 
vein crosscut by a carbonate (CC) vein",31.877572222222224,-8.187175,Marrakech-Safi,456.2500305175781,2.0965615131228716,1.21927490234375,142.85346003320672,0.2,33677.12354315281
loc_00320,Intrusion affected by subvertical schistosity,31.85823888888889,-8.164880555555555,Marrakech-Safi,528.315185546875,15.116534167966044,9.1141259765625,1152.5026262947915,0.1,30724.24680277663
loc_00321,Panorama of a geological succession with several uncon formities (Tahannaout; Douar Sour),31.343988888888887,-7.951219444444445,Marrakech-Safi,942.3464965820312,9.69385354537848,5.1170361328125,51.68382664758417,0.1,31544.66312052868
loc_00322,Normal faults with tilted blocks (Zawyat bou houta),31.330672222222223,-7.954158333333334,Marrakech-Safi,955.7674560546875,16.30850207486318,9.91682373046875,409.75301791308345,0.15,32986.99786127176
