Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Elevation_m,Slope_deg,Ruggedness,Dist_to_Dam_m,Dist_to_River_m,LULC_Class,Soil_Class,Geology_Class,Domain_Geosite_Count,Region_Geosite_Count,Dist_to_Highway_m,Dist_to_Piste_m,Accessibility,Accessibility_v1,Fuzzy_Accessibility_Score,Fuzzy_Accessibility_Category
151,Lower Devonian dwarf brachiopods of Bou Trou Al Aççama,PL,Central Hight Atlas,Béni Mellal-Khénifra,33.3595,-5.490833333333334,1665.4285888671875,4.435853958129883,100.2172622680664,7100.591796875,2599.881591796875,13.0,9.0,19.0,119.0,109.0,2646.2344,0.0,Moderate,Moderate,0.7072753525994532,Easy
152,Emsien crinoids grassland of Bab Al Ari,PL&S,Central Hight Atlas,Béni Mellal-Khénifra,33.4605,-5.1865,2344.4541015625,74.81573486328125,948.965087890625,6856.568359375,7566.62744140625,13.0,7.0,71.0,119.0,109.0,1183.432,0.0,Difficult,Difficult,6.454951083795825e-07,Difficult
153,Givetian calciturbidites of Ben Aarab,"S,S&PL",Central Hight Atlas,Béni Mellal-Khénifra,33.501333333333335,-5.4015,1480.23974609375,4.47383451461792,123.18380737304688,13017.751953125,1656.8048095703125,11.0,3.0,46.0,119.0,109.0,1183.432,1183.432,Moderate,Difficult,0.8338606743760956,Easy
155,Frasnian-Famennian Kellwasser black limestones of Bou Ounabdou,"S,St&PL",Central Hight Atlas,Béni Mellal-Khénifra,33.142833333333336,-5.518,1768.311279296875,5.841681480407715,132.3980712890625,5913.49072265625,4966.74560546875,13.0,10.0,71.0,119.0,109.0,3347.2512,1183.432,Difficult,Moderate,0.22555881251382054,Difficult
156,Famennian Griottes limestones of Bou Ounabdou,"S,St&PL",Central Hight Atlas,Béni Mellal-Khénifra,33.14266666666666,-5.5175,1768.311279296875,5.841681480407715,132.3980712890625,5913.49072265625,4966.74560546875,13.0,10.0,71.0,119.0,109.0,3347.2512,1183.432,Difficult,Moderate,0.22555881251382054,Difficult
157,Famennian Zebra griottes limestones of Ziyar,S&St,Central Hight Atlas,Béni Mellal-Khénifra,33.0425,-5.738666666666667,1027.55615234375,2.0528640747070312,67.44117736816406,9940.828125,2366.864013671875,6.0,3.0,46.0,119.0,109.0,0.0,0.0,Easy,Moderate,0.9739190661108993,Easy
158,Arich OuzellaFm,S&PL,The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi,31.142222222222223,-9.707777777777777,430.8367309570313,0.3522094488143921,24.9101505279541,15850.650390625,4970.4140625,15.0,10.0,45.0,41.0,41.0,0.0,1183.432,Easy,Easy,0.9842786882824905,Easy
204,Chiker polje,K&S,Middle Atlas,Fès-Meknès,34.118611111111115,-4.040555555555556,1233.3214111328125,6.338278293609619,200.21925354003903,8750.0595703125,0.0,13.0,9.0,18.0,34.0,34.0,0.0,0.0,Easy,Difficult,0.7984595570510004,Easy
205,Chiker cave,K,Middle Atlas,Fès-Meknès,34.12166666666667,-4.038333333333333,1233.3214111328125,6.338278293609619,200.21925354003903,8750.0595703125,0.0,13.0,9.0,18.0,34.0,34.0,0.0,0.0,Easy,Difficult,0.7984595570510004,Easy
206,Dolines of Ademame,K,Middle Atlas,Fès-Meknès,34.04361111111111,-4.095,2220.994873046875,68.27647399902344,602.1779174804688,1183.4320068359375,2599.881591796875,15.0,9.0,71.0,34.0,34.0,2366.864,0.0,Difficult,Difficult,1.3827453684898111e-05,Difficult
