Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Coordinate_Extraction_Method
228,Tata water gap,G,Anti-Atlas ,Souss-Massa,29.705037,-7.986517,Numeric DMS
229,Akka water gap,G,Anti-Atlas ,Souss-Massa,29.475754,-8.277655,Numeric DMS
230,Ait Ouabelli water gap,G,Anti-Atlas ,Souss-Massa,29.240173,-8.53858,Numeric DMS
231,Icht water gap,G,Anti-Atlas ,Souss-Massa,29.086675,-8.85169,Numeric DMS
232,Fam El Hisn water gap,G,Anti-Atlas ,Souss-Massa,29.06027,-8.925848,Numeric DMS
233,Tizgui Ida Ou Baloul water gap,G,Anti-Atlas ,Souss-Massa,29.741683,-8.50205,Numeric DMS
234,Ibn Yaakoub water gap,G,Anti-Atlas ,Souss-Massa,30.068945,-7.954123,Numeric DMS
235,Rokan water gap,G,Anti-Atlas ,Souss-Massa,29.983764,-7.95061,Numeric DMS
236,Targant water gap,G,Anti-Atlas ,Souss-Massa,29.912618,-7.684191,Numeric DMS
237,Alougoum water gap,G,Anti-Atlas ,Souss-Massa,30.089514,-6.910584,Numeric DMS
238,Desert mermaid,G,Anti-Atlas ,Souss-Massa,29.646508,-7.756531,Numeric DMS
239,Tata oyster,G,Anti-Atlas ,Souss-Massa,29.646508,-7.756531,Numeric DMS
240,Akka Phillyrea,G,Anti-Atlas ,Souss-Massa,29.646508,-7.756531,Numeric DMS
241,Draa double winged eye,G,Anti-Atlas ,Souss-Massa,29.028776,-8.591492,Numeric DMS
242,Tagragra of Tata inlier,G,Anti-Atlas ,Souss-Massa,29.899215,-7.94165,Numeric DMS
243,Agouliz inlier,G,Anti-Atlas ,Souss-Massa,29.751482,-8.161377,Numeric DMS
244,Aigou inlier,G,Anti-Atlas ,Souss-Massa,29.737174,-8.320678,Numeric DMS
245,Tanmrout inlier,G,Anti-Atlas ,Souss-Massa,29.737174,-8.320678,Numeric DMS
246,Tagragra of Akka inlier,G,Anti-Atlas ,Souss-Massa,29.460147,-8.677734,Numeric DMS
247,Alougoum gorge,G,Anti-Atlas ,Souss-Massa,30.308991,-6.837444,Numeric DMS
248,Tlit gorge,G,Anti-Atlas ,Souss-Massa,30.278531,-7.062836,Numeric DMS
249,Aguinane gorge,G,Anti-Atlas ,Souss-Massa,30.195719,-7.540216,Numeric DMS
250,Tagmout gorge,G,Anti-Atlas ,Souss-Massa,29.971009,-8.257101,Numeric DMS
251,Agouliz gorge,G,Anti-Atlas ,Souss-Massa,29.732906,-8.189294,Numeric DMS
252, Aygou gorge,G,Anti-Atlas ,Souss-Massa,29.734488,-8.261025,Numeric DMS
253,Targant gorge,G,Anti-Atlas ,Souss-Massa,29.481527,-8.375144,Numeric DMS
254,Tamzrart gorge,G,Anti-Atlas ,Souss-Massa,29.361629,-8.518739,Numeric DMS
255,Tadakoust gorge,G,Anti-Atlas ,Souss-Massa,29.254602,-8.694864,Numeric DMS
256,Ighir Ighnain gorge,G,Anti-Atlas ,Souss-Massa,29.227937,-8.924098,Numeric DMS
257,Tamanart canyon,G,Anti-Atlas ,Souss-Massa,29.167098,-8.958087,Numeric DMS
