Geological domain,Administrative region,Reference,Title,Evaluated geosites,Geosite's type,Coordinates,,Center coordinates,,Methodology,Comment,Legend,,,,,,,,,,,,,,,,,,,,
Morocco,Morocco,"Noubhani, 2015 (In Errami et al., 2015)",Late Cretaceous and Lower Paleogene Moroccan Phosphates: Geotourism Opportunities,Ouled Abdoun,,"32°45'46.00""N","6°49'1.00""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gantour,,"32°15'33.50""N","7°49'34.00""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Meskala,,"31°18'57.93""N","9°21'10.41""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Souss,,"30°27'20.53""N","9° 1'34.13""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oued Eddahab,,"26°16'54.79""N","13° 2'2.11""W",,,,,,,,,,,,,,,,,,,,,,,,,
Anti-Atlas,Draa-Tafilalet,"El Ouali et al., 2026a","Geoeducation,geotourism,andgeoconservationoftheTimaderouineEdiacaran-Ordoviciangeosites,westernTinghir(EasternAnti-Atlas,Morocco)",Ediacaran dyke structures,,31°21′10.77′′N,5°43′4.80′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ediacaran-Lower Cambrian contact,,31°21′19.61′′N,5°43′8.60′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lower Cambrian “Brèche à Micmacca”,,31°21′19.43′′N,5°43′11.34′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Middle Cambrian Paradoxides-type trilobites,,31°21′21.22′′N,5°43′6.09′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Middle Cambrian regression sequences,,31°21′41.96′′N,5°44′3.37′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lower Ordovician oncolite structures,,31°22′7.55′′N,5°44′6.92′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Middle Ordovician burrows and oolitic iron,,31°22′21.18′′N,5°44′0.13′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Upper Ordovician bioturbation and karstification,,31°22′50.62′′N,5°43′57.46′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Upper Ordovician sequences and faults,,31°22′33.78′′N,5°44′6.06′′W,,,,,,,,,,,,,,,,,,,,,,,,,
High Atlas,Draa-Tafilalet,"El Ouali et al., 2026b","From the Visean to the Quaternary: Geoheritage Asssessment of Geosites for Science, Education, and Tourism in the Imlil-Tizi n’Tazoult District, West of Tinghir (Morocco)",Visean–Infra-Cenomanian unconformity,,"31°26'03""N","5°38'42""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Quaternary fluvial terraces,,"31°26'11""N","5°38'44""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Infra-Cenomanian gypsum & Quaternary travertine,,"31°26'27""N","5°38'52""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cenomanian–Turonian lithified and flint-rich limestone,,"31°26'39""N","5°39'17""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Senonian–Neogene basalt unconformity,,"31°26'54""N","5°39'45""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neogene volcano-sedimentary deposits,,"31°27'20""N","5°39'46""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Paleocene fossiliferous limestone,,"31°27'06""N","5°39'53""W",,,,,,,,,,,,,,,,,,,,,,,,,
High Atlas & Anti-Atlas,Draa-Tafilalet,"Milu et al., 2019",GEOHERITAGE OF THE ANTI-ATLAS (MOROCCO): A NATURAL TREASURE IN SUPPORT OF SUSTAINABLE DEVELOPMENT,Geosite 1,,"31°20'10.20""N","5°35'35.86""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Geosite 2,,"31°26'4.42""N","5°59'23.98""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Geosite 3,,"31°31'41.95""N","5°55'28.90""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Geosite 4,,"30°51'14.91""N","6°48'8.70""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Geosite 5,,"30°45'32.15""N","6°38'33.41""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Geosite 6,,"30°31'29.57""N","6°26'36.08""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Geosite 7,,"30°16'49.34""N","6°45'26.74""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Geosite 8,,"30°17'1.63""N","6°25'55.23""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Geosite 9,,"30°31'17.44""N","7°14'47.99""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Geosite 10,,"30°34'23.43""N","7°50'45.33""W",,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlas,Beni Mellal-Khenifra,"Baadi et al., 2023",Paleozoic-Lower and Middle Lias Lithostratigraphic and Sedimentological Geosites of the Middle Atlas (Morocco): Inventory and Valorization,Ait OfeIla,,32°56′34.36″N,5°5′2.51″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Askour,,33°37′49.47″N,4°10′57.39″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Azzaba,,33°48′50.07″N,4°40′32.42″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bab Azhar,,34°3′51.26″N,4°15′55.42″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ben Smime,,33°29′42.14″N,5°11′23.00″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Beni Mkoud,,33°53′49.23″N,4°20′39.31″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bhalil,,33°51′52.30″N,4°53′25.46″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bled Ech Chrif,,33°58′12.71″N,4°2′59.56″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bon Massaoud,,34°6′6.82″N,4°5′1.08″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bou Tazzert,,33°25′48.27″N,4°56′46.34″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bsabis,,33°41′57.43″N,4°41′36.90″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Col de Touaher,,34°11′33.95″N,4°10′1.13″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Col du Zad,,33°0′32.47″N,5°4′15.79″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Diapir de Mellaha,,33°46′42.12″N,"4°33′43.35""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,El Ghar,,33°53′19.88″N,4°15′46.40″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,El Harira,,33°55′13.95″N,4°21′48.77″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ic h Amellal,,33°31′1.92″N,4°54′49.88″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ic h Bab El Mansour,,33°39′55.20″N,4°11′47.62″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ic h Maalem,,33°42′17.66″N,4°9′57.89″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ic h n’Tili,,33°35′54.34″N,4°16′2.64″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ic h Ouarich,,33°29′35.83″N,4°54′58.02″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Issouka,,33°26′30.04″N,4°20′5.48″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,It Ougmar,,33°24′38.41″N,4°52′24.74″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ito,,33°35′42.02″N,5°21′31.48″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,J. Ouaouserdoune,,33°28′23.82″N,4°54′37 69″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Bouslama,,33°55′42.65″N,4°15′42.15″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Hamda,,33°46′3.97″N,4°30′30.99″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Lakraâ,,33°51′52.33″N,4°20′51.37″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Messassa,,33°53′54.16″N,4°23′18.89″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Nerkibat,,33°50′10.48″N,4°5′23.48″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Sehrij,,33°55′45.99″N,3°59′31.24″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Tazrakht,,33°44′36.73″N,4°36′48.27″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Tichaou,,33°54′43.52″N,4°24′33.14″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Tnidilt,,33°55′22.54″N,4°17′54.81″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jerf EI Gaz,,33°25′27.00″N,4°20′32.00″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kandar,,33°46′47.21″N,5°3′55.63″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kerrouchène,,32°48′44.14″N,5°19′9.02″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Koudiat Ech Chham,,33°27′5.37″N,4°55′45.58″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Laârouch,,33°55′46.13″N,4°15′21.63″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mâafa Tamekrant,,33°28′48.57″N,4°55′41.86″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Maafa Tamezian,,33°29′29.01″N,4°55′58.59″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Merzidki,,33°26′45.14″N,4°52′18.70″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mou Aguerbez,,33°27′45.04″N,4°56′43.29″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Pontde Sebou,,33°49′56.27″N,4°38′46.36″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tamezziant,,33°26′47.54″N,4°53′28.50″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tichoukt,,33°23′41.01″N,4°39′30.60″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tizi Bou-Zaabel,,33°38′44.12″N,4° 9′18.36″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tizi Oughmari,,33°28′10.52″N,5°9′54.23″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tleta Zerarda,,33°59′36.85″N,4°22′58.81″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Zitounat,,33°24′9.13″N,5°1′12.94″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"of Lithostratigraphic, Paleogeographic and Paleontological Importance",Jbel Shala,,"33°41'15.92""N","4°18'20.24""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cave of Tamezguid n’Rbi,,"33°39'45.49""N","4°17'20.54""W",,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlas,Beni Mellal-Khenifra,"Baadi and Sabaoui, 2023",Cenozoic Sites of the Middle Atlas (Morocco): An Alpine Heritage to Be Preserved,Aderj Plateau,,33°37′26.06″N,4°26′50.14″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aghram Amellal,,33°40′56.61″N,4°27′25.41″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aghram Iroumine,,33°38′45.15″N,4°28′20.43″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bel Jeraf,,33°49′33.85″N,4°50′46.28″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Beni Mghora,,33°41′47.08″N,4°21′13.42″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Col Touaher,,34°11′33.95″N,4°10′1.13″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,El Karia,,33°46′15.02″N,4°19′8.88″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Foum Khneg,,33°9′3.06″N,5°3′13.22″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gara Tazouta,,33°38′45.09″N,4°39′2.78″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ich n’Bouk,,33°38′56.20″N,4°25′1.79″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Laazib,,33°43′58.52″N,4°22′56.49″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lebbouaddis,,33°49′44.56″N,4°38′58.29″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Miocene of Bizi,,33°55′56.35″N,3°59′13.69″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oued Mdez,,33°39′9.53″N,4°33′56.28″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oued Zra,,33°42′29.36″N,4°38′29.87″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ribat al Khayr,,33°49′3.70″N,4°25′16.91″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sidi Yahya,,33°44′29.00″N,4°19′34.39″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Silt of Sefrou,,33°51′28.61″N,4°51′3.45″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Skoura Travertines,,33°35′7.52″N,4°31′54.07″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tannint ou Moudou,,33°40′1.92″N,4°29′10.04″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Timahdite limestones,,33°14′21.58″N,5°3′18.18″W,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlas,Beni Mellal-Khenifra,"Baadi, 2023b",The Palaeontological Heritage of Vertebrates in the Middle Atlas (Morocco): Initiatives of Inventory and Assessment for a Rare Heritage Threatened with Degradation,Aïn ou N’Jourh,,33°28′30.24″N,4°27′14.37″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aït Abdellah,,33°25′3.30″N,4°26′35.60″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aït Bazza,,33°24′35.75″N,4°18′35.86″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ancherif,,33°29′1.38″N,4°36′48.31″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Botane,,33°28′48.62″N,4°27′56.01″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Botane Sud,,33°28′27.54″N,4°27′45.55″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bou Ifraoun,,33°24′54.67″N,4°22′34.52″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bou Ifraoun Ouest,,33°24′55.89″N,4°22′51.24″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Boulahfa,,33°17′48.56″N,4°42′13.76″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Darak,,33°25′24.34″N,4°27′9.68″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Djmila,,33°30′41.97″N,4°26′6.74″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EL Mers,,33°26′49.82″N,4°26′41.61″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Oudiksou,,33°14′57.86″N,4°49′46.46″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ksar Aït Moulay (Tisfoula Tasra) ,,33°26′37.48″N,4°23′29.45″W,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlas,Beni Mellal-Khenifra,"Baadi, 2023c",The Palaeontological Heritage of Vertebrates in the Middle Atlas (Morocco): Initiatives of Inventory and Assessment for a Rare Heritage Threatened with Degradation,Oued Boukamouche,,33°26′48.72″N,4°25′21.25″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oued Mers,,33°26′42.10″N,4°18′57.47″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oued Tamemchet,,33°25′47.74″N,4°23′50.28″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oued Tamghilt,,33°26′35.63″N,4°19′2.71″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oulad Ali,,33°27′52.66″N,3°58′17.24″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Selghert,,33°08.82′N,4°58.82′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taghit,,33°27′27.07″N,4°27′35.14″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taghit Aït Youssef,,33°27′22.09″N,4°27′12.51″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taghit Tissenflet,,33°27′3.18″N,4°25′23.05″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taghrout,,33°27′0.94″N,4°28′0.06″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taghzout,,33°27′23.38″N,4°23′24.73″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tamgert Iktaaïn (Tizi N’Julierh),,33°28′1.58″N,4°26′58.67″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tamgert N’Tarit,,33°28′3.50″N,4°26′3.45″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tamgert N’Tarit Nord,,33°28′1.50″N,4°26′0.40″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tamguert N’rate,,33°27′14.27″N,4°18′44.32″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tasra,,33°27′35.43″N,4°23′35.06″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tasra Est,,33°27′34.43″N,4°23′10.71″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tichniouine,,33°25′36.80″N,4°25′10.59″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tichou Moulay Said,,33°26′28.11″N,4°23′43.34″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tirardine,,33°26′9.43″N,4°21′32.85″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vértébrés d’El Mers,,33°27′0.04″N,4°25′59.75″W,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlas,Beni Mellal-Khenifra,"Amzil and Oukassou, 2023","3D Virtual Visit of the Paleontological Site of Anchrif (Middle Atlas, Morocco): A New Perspective for the Enhancement of Geoheritage",Anchrif site,,33°28′59.79″N,4°37′02.76″W,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlas,Beni Mellal-Khenifra,"Baadi, 2023d",Hydric Geosites of Middle Atlas: A Natural Heritage Under Threat,Aari Aguelmam,,33°10′5.18″N,5°8′29.22″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aghbalou Abrechane,,33°8′22.74″N,5°3′24.98″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aghbalou n’Bou Harch,,3°14′59.61″N,5°4′15.93″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aghbalou n’Brahim,,33°11′21.84″N,5°5′8.27″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aghbalou n’Talouat,,33°8′25.03″N,5°3′6.33″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aghbalou n’Toumit,,33°4′55.28″N,4°59′1.70″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aghbalou Ou Mançour,,33°13′38.39″N,5°5′37.33″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aghbalou Oumlil,,33°4′50.60″N,4°59′0.39″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aghbalou Taddat,,33°15′52.70″N,5°21′55.17″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aghbalou Tagma,,33°13′53.86″N,4°58′18.17″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aghbaloun Assounane,,32°54′43.87″N,5°20′9.33″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Abekhane,,33°11′22.69″N,5°8′31.13″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Admar Izam,,33°6′11.03″N,5°23′40.04″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Afiroua,,33°13′38.39″N,5°5′37.33″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Aghbalou Oumlil,,33°14′35.85″N,4°39′4.95″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Ait Said,,33°22′21.43″N,4°50′49.75″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Almis Guigou,,32°58′23.46″N,5°26′36.63″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Azegza,,33°1′26.97″N,5°5′28.49″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Azougouarh,,33°45′40.66″N,5°17′48.80″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Bou Youssef,,33°15′38.86″N,5°9′22.46″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Boucherouidene,,33°29′37.99″N,5°7′15.36″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Dial Tachnkourt,,33°8′44.02″N,5°23′10.90″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Ifrighraoune,,33°17′18.10″N,5°10′45.31″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Miammi,,32°54′15.19″N,5°22′24.93″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Nad′Adim,,33°10′43.69″N,5°4′48.53″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam n’Harcha,,33°7′52.40″N,5°21′4.43″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam n’Tghallouine,,33°23′10.03″N,5°5′45.41″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Ntifounassine,,33°9′15.04″N,5°5′37.79″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Ou Houli,,33°7′46.62″N,5°21′35.61″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Sidi Abderahman Ou Said,,33°5′7.48″N,5°24′3.30″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Taanzeoult,,33°4′18.78″N,5°1′16.79″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Ticharat,,33°0′13.74″N,5°7′53.88″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmam Tidouit,,33°14′37.78″N,5°5′46.02″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguelmame Sidi Ali,,33°4′23.80″N,4°59′40.91″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Aberchaou,,33°53′51.40″N,4°0′52.22″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Aghbal,,5°15′7.48″W,33°26′22.09″N,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Ait Meziane,,33°39′59.71″N,5°0′23.15″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Ajaabou,,33°16′20.22″N,5°20′28.13″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Akadous,,33°18′30.84″N,5°18′43.80″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Amernoud,,33°41′4.46″N,4°38′39.14″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Atshernat,,33°51′36.09″N,4°4′16.58″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Ba Ahmed,,33°3′29.28″N,5°0′21.31″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Ben Smime,,33°29′25.89″N,5°9′31.07″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Dem,,33°39′1.56″N,4°40′33.92″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain El Aouda,,34°5′50.96″N,4°2′13.61″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aïn Erreha,,34°0′15.91″N,4°12′17.33″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Guenaz,,33°49′26.38″N,4°7′38.55″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Ighlfoun,,33°51′51.96″N,4°1′31.63″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Ighoul,,33°40′35.37″N,4°31′40.94″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Ighouzaz,,33°54′46.43″N,4°0′10.78″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Jerjoub,,34°1′49.02″N,4°6′34.00″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Jerrah,,33°44′35.06″N,5°1′57.61″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Jorf,,33°36′37.56″N,4°52′48.37″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Kahla,,33°14′13.83″N,5°12′58.42″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Kahla 2,,33°14′36.30″N,4°58′0.66″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aïn Khadem,,33°41′20.66″N,5°22′17.04″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Larais,,33°3′55.27″N,4°59′45.90″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Maarouf,,33°40′38.39″N,5°29′33.48″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Melzit,,33°48′36.31″N,4°4′13.09″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Mezdou,,33°45′42.43″N,4°49′13.82″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Mghirta,,33°40′52.49″N,4°31′45.17″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aïn n’Tislit,,33°56′45.08″N,4°13′28.51″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Ouamender,,33°44′48.69″N,4°32′35.00″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Regrag,,33°46′44.89″N,4°43′56.12″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Sebou,,33°44′13.02″N,4°31′58.68″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Sidi Rached,,33°27′29.91″N,5°9′2.31″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Skhounate,,33°26′56.70″N,4°20′20.46″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Sultane,,33°43′4.24″N,5°0′10.99″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Takeltount,,33°36′41.33″N,4°53′3.27″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Takhouwat,,33°41′33.69″N,4°35′13.25″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Talghoulat,,33°22′17.54″N,5°6′4.36″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Tamzirt,,33°29′34.44″N,4°17′47.47″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Tassiwine,,33°48′57.12″N,4°4′4.89″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Tataw,,33°27′40.61″N,4°17′44.32″W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ain Tidouit,,33°14′14.87″N,5°5′51.87″W,,,,,,,,,,,,,,,,,,,,,,,,,
