Geological domain,Administrative region,Reference,Title,Evaluated geosites,Geosite's type,Coordinates,,Center coordinates,,Methodology,Comment,Legend,,,,,,,,,,,,,,,,,,,,
Jbilet Massif,Marrakech-Saf,El Hamidy et al.2024,"Jbel Irhoud Geosite, the Cradle of Humanity (Youssoufia Province, 
Marrakech‑Safi region, Morocco): Evaluation and Valorization 
of the Geological Heritage for Geoeducation and Geotourism Purposes",Archaeoctic limestone,PL&S,"31°53'45.83""N","8°52'1.01""W","31° 
52′ 30″N", 8° 52′ 00″W,"Reynard et al.2007& Pralong,2005",,,,,,,,,,,,,,,,,,,,,,
,,,,Sandstone-fault families,S&S,"31°53'49.23""N","8°51'36.94""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Faiult mirror-gradin 
crystallization",S,"31°53'55.37""N","8°51'49.42""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Karst networks of barite,S&M,"31°54'27.51""N","8°51'3.21""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calcite crystals,Pt,"31°54'47.75""N","8°50'30.89""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Cambrian sandstone & shale,Gray massive Cambrian limestones",S,"31°55'3.46""N","8°50'7.35""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"31°54'51.24""N","8°50'23.64""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The western tip of the Cambrian crest,S,"31°55'48.89""N","8°49'41.23""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Irhoud anticline,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meseta,Marrakech-Safi,El Hamidy et al.2025,"The geosites of Safi province (Marrakech-Safi region, Morocco): Inventory and assessment for geoconservation, geotourism, geoeducation, geoparks, and local sustainable development",Sidi Bouzid escarpment,"S,St&PL",32°18′01′′N,9°15′04′′W,….,….,El Hamidy et al. 2024b,,,,,,,,,,,,,,,,,,,,,,
,,,,Chaâba valley,"S,S&PL",32°18′10′′N,9°13′51′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sidi Abderrahmane clayquarry,S/St,32°19′57′′N,9°10′36′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sidi Abderrahmane dam,H,32°19′26′′N,9°10′49′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Escarpment of Lalla Fatna,"S,PL&St",32°23′15′′N ,9°15′54′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cap Beddouza,S/St/G,32°33′03′′N,9°16′22′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,El Goraan cave,G,32°33′27′′N,9°15′15′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Souira Lgdima,"S,St&G",32°02′16′′N,9°20′26′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sidi Tiji Gypsum quarry,S&St,32°09′28′′N,08°51′55′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jorf Lihoudi,"S,St&PL",32°10′48′′N,9°15′36′′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The lagoon of Oualidia,H,32°44′21′′N,"8°33'32.86""W",,,,,,,,,,,,,,,,,,,,,,,,,
Meseta,Marrakech-Safi,El Hamidy et al.2025,"Proposed geo-educational activities at the Sidi Bouzid geosite, Safi Province, Marrakech-Safi region, Morocco",Panoramic view of the cliff,G,"33°13'15.90""N","8°33'18.67""W",32°18′01′′N,9°15′04′′W,"Orion, 1993",,,,,,,,,,,,,,,,,,,,,,
,,,,beach of Sidi Bouzide,G,"33°13'33.31""N","8°33'18.67""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Marine fauna of the lower limestone,PL&S,"33°13'2.83""N","8°33'57.49""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,, Yellow dolomite lower limestone Contact,S&SG,"33°13'5.07""N","8°33'41.72""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Brown clay marine faun in the intercalated banks,PL&S,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The source Lalla Mira,H,"32°19'6.36""N","9°15'14.58""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The wave of Saf,G,"32°19'29.03""N","9°17'0.11""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Marabout Sidi Bouzid,R,"33°13'9.41""N","8°33'39.38""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The marine fauna presented in the banks,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,El Wartiti et al.2007, Geosites inventory of the northwestern Tabular Middle Atlasof Morocco,Dayet Agoulmam Afougagh,"SG,H & PL",33°37''N, 04°53''W,….,….,Not defined,,,,,,,,,,,,,,,,,,,,,,
,,,,Lake Aoua (Dayet Aoua),SG&H,33°39'20''N, 05°20''W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lake Ifrah (Dayet Ifrah),SG&H,33°33'45''N ,04°55'' W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lake Aguelmame Sidi Ali,SG&H,33°04'34''N,05°00'13''W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bou Tegrrouine,G,"33°17'5.65""N","5° 5'20.69""w",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The caldera of the Michliffen,G,"33°24'47.87""N","5° 4'47.67""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ruiniform landscape,G,"33°17'16.79""N","4°50'50.68""W",,,,,,,,,,,,,,,,,,,,,,,,,
Central Hight Atlas,Béni Mellal-Khénifra , Bouzekraoui et al.2018,"Mapping geoheritage for geotourism management, a case study of Aït Bou Oulli Valley in Central High-Atlas (Morocco)",Alluvial terraces of Aït Mallal,G,,,….,…., Coratza et al. 2008; Coratza and Regolini-Bissig 2009; Regolini-Bissig and Reynard 2010; Castaldini et al. 2011; Ilies et al. 2011; Comănescu et al. 2013; Badang et al. 2016; Bouzekraoui et al. 2018,,,,,,,,,,,,,,,,,,,,,,
,,,,Aït Mallal valley,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Badlands of Igoulouane,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, Arouss valley,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, Canyon of Rougoult valley,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Canyon of Abachkou valley,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Canyon of High-Tessaout valley,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Glacial cirques and U-shaped valleys of Rat mountain,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Scree and talus deposits of Rat mountain,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Scree and talus deposits of Tarkeddid mountain,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fairy chimneys of Assamar,G,"31°40'53.48""N","6°40'7.38""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Canyon of Ikiss,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rat syncline,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Peak and cliffs of Tarkeddid mountain,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mount M’goun (4068 m),G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The unconformity between Paleozoic basement and Mesozoic sedimentary cover of Aït Mallal,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rougoult waterfall,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Springs of Oued Lakhdar (green river),G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Springs and waterfall of Ikiss,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sinkholes of the Rat mountain,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Hight Atlas,Béni Mellal-Khénifra,Amine et al.2020,DINOSAURS FOOTPRINTS OF THE HIGH ATLAS MOROCCO BY USING GEOLOGICAL HERITAGE INFORMATION SYSTEM,Dinosaur footprints deposits of Iouaridene,PL,,,….,….,Amine et al.2020,,,,,,,,,,,,,,,,,,,,,,
,,,,Dinosaur footprints deposits of  Ait Mimoun Ouffelah,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dinosaur footprints deposits of Ait Bouguemaz,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dinosaur footprints deposits of Ait Bla,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Hight Atlas,Beni Mellal-Khenifra,Akhlidej et al.2024,"Inventory and quantitative assessment of Devonian geosites in the Azrou-Khenifra Basin (eastern band of the Central Hercynian Massif, Morocco)",Lower Devonian quartzite bars of Bou Trou-Al Aççama,"S,St&G",33°22.04′N,5°29.41′W,….,….,"Brilha, 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,Lower Devonian paleosol of Bou Trou-Al Aççama,S&St,33°21.56′ N,5°29.51′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lower Devonian dwarf brachiopods of Bou Trou Al Aççama,PL,33°21.57′N, 5°29.45′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Emsien crinoids grassland of Bab Al Ari,PL&S,33°27.63′N,5°11.19′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Givetian calciturbidites of Ben Aarab,"S,S&PL",33°30.08′N,5°24.09′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Givetian-Famennian paleolapiaz of Bab Al Ari,PL&S, 33°27.63’N, 5°11.19’W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Frasnian-Famennian Kellwasser black limestones of Bou Ounabdou,"S,St&PL",33°08.57’N,5°31.08′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Famennian Griottes limestones of Bou Ounabdou,"S,St&PL", 33°08.56’N, 5°31.05′W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Famennian Zebra griottes limestones of Ziyar,S&St,33°02.55′N,5°44.32′W,,,,,,,,,,,,,,,,,,,,,,,,,
The Great Moroccan Atlantic Basin (MAP),Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)",Arich OuzellaFm,S&PL,"31° 9'43.53""N","9°42'13.03""W",31°08′32″N, 09°42′28″W,"Reynard et al., 2007, 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,Amsittene Fm,S,"31° 8'47.59""N","9°44'34.82""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Id ou Moulid Fm,S&PL,"31° 8'34.81""N","9°44'20.50""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arich Ouzella cave,G,"31° 9'45.99""N","9°42'1.24""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Subvertical strata,S,"31° 8'29.45""N","9°45'6.77""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Triassic-Quaternary contact,S,"31° 5'53.49""N","9°49'21.29""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Quaternary-Jurassic contact,S,"31° 5'50.02""N","9°49'29.40""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fold hinge,S,"31° 5'57.01""N","9°49'43.97""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cretaceous Quaternary contact,S,"31° 6'1.58""N","9°50'0.57""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Triple point,S,"31° 6'2.74""N","9°50'22.26""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Macrofossils,PL,"31° 9'7.49""N","9°42'19.23""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fossiliferous dunes,PL,"31° 9'38.26""N","9°42'20.57""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Folded structure1,S,"31°11'33.96""N","9°39'35.50""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Folded structure 2,S,"31° 9'30.28""N","9°41'12.85""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Folded structure 3,S,"31° 9'25.91""N","9°41'51.11""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Amsittene folded structures,S,"31°12'29.42""N","9°42'10.90""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Alluvial cone,S,"31° 5'54.36""N","9°48'47.19""W",,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlas,Fès-Meknès,Baadi et al.2020,"Methodological Proposal for Assessment Geosites: its Application
 in Bou-Iblane Region (Middle Atlas, Morocco)",Ammonitico-rosso of Taffert,PL,,,….,….,Baadi et al.2020,,,,,,,,,,,,,,,,,,,,,,
,,,,Volcano of Bou-Iblane,V,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reefs of Ich Maalam,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,
