Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Coordinate_Extraction_Method,Elevation_m,Slope_deg,Ruggedness,Dist_to_Dam_m,Dist_to_River_m,LULC_Class,Soil_Class,Geology_Class,Dist_to_Highway_m,Dist_to_Piste_m
55,Sedimentary patterns,S,Central High Atlas,Draa-Tafilalet,32.167,-5.545,Numeric DMS,,,,14201.18359375,0.0,5.0,7.0,71.0,0.0,2366.864013671875
56,Msadrid ridge,S,Central High Atlas,Draa-Tafilalet,32.153,-5.593,Numeric DMS,,,,16316.6865234375,0.0,10.0,7.0,71.0,0.0,1183.4320068359375
57,Ait Ali Ou Ikkou's diapirsm,S,Central High Atlas,Draa-Tafilalet,32.153,-5.593,Numeric DMS,,,,16316.6865234375,0.0,10.0,7.0,71.0,0.0,1183.4320068359375
58,Late Jurassic theropod tracks,PL,Central High Atlas,Draa-Tafilalet,32.142,-5.57,Numeric DMS,,,,17034.08203125,0.0,5.0,7.0,71.0,0.0,0.0
59,Vertebrate tracks in the Isli Formation,PL,Central High Atlas,Draa-Tafilalet,32.157,-5.562,Numeric DMS,,,,15850.650390625,0.0,5.0,7.0,71.0,0.0,1183.4320068359375
60,Traces of Selenichnites- Tilmi syncline,PL,Central High Atlas,Draa-Tafilalet,32.163,-5.546,Numeric DMS,,,,14201.18359375,0.0,5.0,7.0,71.0,0.0,2366.864013671875
61,Traces of Crocodylopodus meijidei,PL,Central High Atlas,Draa-Tafilalet,32.183,-5.458,Numeric DMS,,,,14426.86328125,0.0,5.0,9.0,71.0,1183.4320068359375,0.0
62,Tassent ridge,S,Central High Atlas,Draa-Tafilalet,32.15,-5.55,Numeric DMS,,,,15617.6328125,0.0,5.0,7.0,71.0,0.0,1673.6256103515625
63,Akhiam cave,G,Central High Atlas,Draa-Tafilalet,31.958,-5.696,Numeric DMS,,,,11349.94140625,0.0,5.0,9.0,71.0,5292.46875,1183.4320068359375
64,The cliff granaries of Aoujgal   ,S,Central High Atlas,Béni Mellal-Khénifra,32.0,-6.333333333333333,DMS,,,,10170.177734375,0.0,11.0,9.0,71.0,8284.0244140625,0.0
65,The architectural heritage of Zaouiat Ahansal,C,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
66,Panorama of Zaouiat Ahansal ,G,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
67,The natural bridge of Imin Ifri ,G,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
68,The dinosaur geosites of Iouaridène,PL,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
69,Dinosaur footprints,PL,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
70,Aït Blal Rock engravings ,C,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
71,Tizi-n-Tighist Geo landscape ,S,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
72,Paleo-dam of Tizi-n-Tighza ,S,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
73,Ibaqualliwn Lamellibranches of Tizi-n-Tighist,PL,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
74, Jbel Azoukri Ait Attab synclinal (1),S,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
75,Ait Attab synclinal (2),S,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
76,"The Bin El Ouidane dam ""Chocolate Marls"" ",S,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
77,The Ouzoud waterfalls ,G&H,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
78,Cliff of Ait Abdi,SG,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
79,The “Cathedral” Mastfrane,R,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
80,Talmst Ride,SG,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
81,Dinosaur footprints,PL,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
82, Collective granary of Sidi Moussa,C,Central High Atlas,Béni Mellal-Khénifra,31.33333333333333,-5.333333333333333,DMS,1541.9693603515625,6.9960784912109375,167.8853759765625,23184.26171875,2366.864013671875,5.0,3.0,10.0,3550.2958984375,0.0
83,"Granary, Ighrem",C,Central High Atlas,Béni Mellal-Khénifra,32.666666666666664,-7.333333333333333,DMS,369.1071472167969,0.5568816661834717,14.160905838012695,1656.8048095703125,2366.864013671875,10.0,5.0,14.0,0.0,0.0
84,Footprints of the carnivorous dinosaur (Tridactyl),PL,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
